Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: Manual de derecho procesal : 	Autor: Falcon, Enrique M.	Subtitulo_libro: gráficos ilustrativos.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 26
Titulo_libro: Manual de derecho procesal : 	Autor: Falcon, Enrique M.	Subtitulo_libro: gráficos ilustrativos.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2000.	biblioitemnumber: 27
Titulo_libro: Lecciones de derecho procesal civil.	Autor: Leguisamón, Héctor Eduardo	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2001.	biblioitemnumber: 28
Titulo_libro: Derecho procesal civil y comercial.	Autor: Arazi, Roland	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 2004.	biblioitemnumber: 29
Titulo_libro: Derecho procesal civil y comercial.	Autor: Arazi, Roland	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 2004.	biblioitemnumber: 30
Titulo_libro: Elementos de derecho procesal civil.	Autor: Gozaini, Osvaldo A	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 31
Titulo_libro: Manual de derecho procesal civil.	Autor: Palacio, Lino Enrique	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 18va.ed.	Año_publicacion: 2004.	biblioitemnumber: 32
Titulo_libro: Manual de derecho laboral.	Autor: Grisolia, Julio Armando	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 2da.ed.	Año_publicacion: 2005.	biblioitemnumber: 33
Titulo_libro: La capacitación : 	Autor: Blake, Oscar Juan	Subtitulo_libro: un recurso dinamizador de las organizaciones.	Cantidad ejemplares: 1	Edicion: 5ta.ed.	Año_publicacion: 2005.	biblioitemnumber: 34
Titulo_libro: La quinta disciplina : 	Autor: Senge, Peter M	Subtitulo_libro: cómo impulsar el aprendizaje en la organización inteligente.	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 2005.	biblioitemnumber: 35
Titulo_libro: Metamanagement : 	Autor: Kofman, Fredy	Subtitulo_libro: la nueva con-ciencia de los negocios.	Cantidad ejemplares: 4	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 36
Titulo_libro: Metamanagement : 	Autor: Kofman, Fredy	Subtitulo_libro: la nueva con-ciencia de los negocios.	Cantidad ejemplares: 4	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 37
