Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: Joint ventures y otras formas de cooperación empresaria internacional.	Autor: Colaiacovo, Juan Luis	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1611
Titulo_libro: Principios de comercio internacional.	Autor: Ledesma, Carlos Alberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 10	Edicion: 4ta.ed.	Año_publicacion: 1993.	biblioitemnumber: 1612
Titulo_libro: Geografía económica Mundial y Argentina : 	Autor: Carlevari, Isidro J.F.	Subtitulo_libro: con particular referencia a Latinoamérica.	Cantidad ejemplares: 9	Edicion: 5ta.ed.	Año_publicacion: 1994.	biblioitemnumber: 1613
Titulo_libro: Evaluación económica de proyectos de inversión.	Autor: Solanet, Manuel A	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1984.	biblioitemnumber: 1614
Titulo_libro: Evaluación económica de proyectos de inversión.	Autor: Solanet, Manuel A	Subtitulo_libro: sin datos	Cantidad ejemplares: 9	Edicion: 3ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 1615
Titulo_libro: Tablas financieras estadísticas y actuariales.	Autor: Gil Peláez, Lorenzo	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 7ma.ed.	Año_publicacion: 1985.	biblioitemnumber: 1616
Titulo_libro: El IVA y el productor agropecuario.	Autor: Franciosi, Eduardo	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1617
Titulo_libro: Proyectos de exportación y estrategias de marketing internacional.	Autor: Colaiacovo, Juan Luis	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1618
Titulo_libro: Dirección estratégica.	Autor: Jarillo, José Carlos	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1992.	biblioitemnumber: 1619
Titulo_libro: Estrategia internacional : 	Autor: Jarillo, José Carlos	Subtitulo_libro: Más allá de la exportación.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 1620
Titulo_libro: Resolución de problemas y toma de decisiones.	Autor: Milano, Antonio	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 1621
Titulo_libro: La tierra en juego : 	Autor: Gore, Albert	Subtitulo_libro: ecología y conciencia humana.	Cantidad ejemplares: 4	Edicion: 2da. ed.	Año_publicacion: 1993.	biblioitemnumber: 1622
Titulo_libro: La situación del mundo 1994.	Autor: Brown, Lester	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1623
Titulo_libro: Administración y futuro : 	Autor: Drucker, Peter F	Subtitulo_libro: de los 90' en adelante.	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1993.	biblioitemnumber: 1624
Titulo_libro: La educación en democracia : 	Autor: Heslep, Robert D.	Subtitulo_libro: la función moral de la educación en el estado democrático.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1625
Titulo_libro: Teoría en pugna en las relaciones internacionales.	Autor: Dougherty, James E.	Subtitulo_libro: sin datos	Cantidad ejemplares: 4	Edicion: 1ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1626
Titulo_libro: Cursogramas : 	Autor: Klein, Miguel Ángel	Subtitulo_libro: técnicas y casos.	Cantidad ejemplares: 3	Edicion: 4ta.ed.	Año_publicacion: 1993.	biblioitemnumber: 1627
Titulo_libro: Impuestos al valor agregado : 	Autor: Marchevsky, Rubén Alberto	Subtitulo_libro: análisis integral.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1996.	biblioitemnumber: 1628
Titulo_libro: Nuevo régimen simplificado para pequeños contribuyentes en el impuesto al valor agregado.	Autor: Castro, Juan Pedro	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1986.	biblioitemnumber: 1629
Titulo_libro: Interpretación y análisis de estados contables.	Autor: Biondi, Mario	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 4ta.ed.	Año_publicacion: 1993.	biblioitemnumber: 1630
Titulo_libro: Manual de Análisis matemático : 	Autor: Repetto, Celina	Subtitulo_libro: primera Parte.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1989.	biblioitemnumber: 1631
Titulo_libro: Manual de Análisis matemático : 	Autor: Repetto, Celina	Subtitulo_libro: Segunda Parte.	Cantidad ejemplares: 3	Edicion: 1ra.ed.	Año_publicacion: 1989.	biblioitemnumber: 1632
Titulo_libro: Títulos de crédito : 	Autor: Escuti, Ignacio A.	Subtitulo_libro: letra de cambio, pagaré y cheque.	Cantidad ejemplares: 4	Edicion: 3ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1633
Titulo_libro: El proceso contable.	Autor: Sasso, Hugo Luis	Subtitulo_libro: sin datos	Cantidad ejemplares: 5	Edicion: 3ra.ed.	Año_publicacion: 1995.	biblioitemnumber: 1634
Titulo_libro: El código penal y su interpretación jurisprudencial.	Autor: Rubianes, Carlos J.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 1635
Titulo_libro: Derecho del trabajo y la seguridad social.	Autor: Vázquez Vialard, Antonio	Subtitulo_libro: sin datos	Cantidad ejemplares: 15	Edicion: 6ta.ed.	Año_publicacion: 1994.	biblioitemnumber: 1636
Titulo_libro: Derecho del trabajo y la seguridad social.	Autor: Vázquez Vialard, Antonio	Subtitulo_libro: sin datos	Cantidad ejemplares: 15	Edicion: 6ta.ed.	Año_publicacion: 1994.	biblioitemnumber: 1637
Titulo_libro: Sociedades comerciales : 	Autor: Verón, Alberto Víctor	Subtitulo_libro: ley 19550.	Cantidad ejemplares: 6	Edicion: 1ra.ed.	Año_publicacion: 1982.	biblioitemnumber: 1638
Titulo_libro: Manual de sociología.	Autor: Poviña, Alfredo	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 1ra.ed.	Año_publicacion: 1988.	biblioitemnumber: 1639
Titulo_libro: Tratado de sociología.	Autor: Poviña, Alfredo	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 6ta.ed.	Año_publicacion: 1985.	biblioitemnumber: 1640
Titulo_libro: Contratos civiles y comerciales : 	Autor: Ghersi, Carlos Alberto	Subtitulo_libro: parte general especial.	Cantidad ejemplares: 2	Edicion: 3ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1641
Titulo_libro: Contratos civiles y comerciales : 	Autor: Ghersi, Carlos Alberto	Subtitulo_libro: parte general especial.	Cantidad ejemplares: 2	Edicion: 3ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1642
Titulo_libro: Curso de derecho del trabajo y la seguridad social.	Autor: Rodríguez Mancini, Jorge	Subtitulo_libro: sin datos	Cantidad ejemplares: 5	Edicion: 3ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1643
Titulo_libro: La economía de la Argentina : 	Autor: Ferrer, Aldo	Subtitulo_libro: las etapas del desarrollo y problemas actuales.	Cantidad ejemplares: 3	Edicion: 15ta.ed.	Año_publicacion: 1984.	biblioitemnumber: 1644
Titulo_libro: Régimen de procedimientos administrativos : 	Autor: Hutchinson, Tomás	Subtitulo_libro: ley 19549 -decreto reglamentario.	Cantidad ejemplares: 3	Edicion: 2da.ed.	Año_publicacion: 1994.	biblioitemnumber: 1645
"Titulo_libro: Nuevo estado; nuevo derecho. Constitución para todos."	Autor: Dromi, José Roberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1646
"Titulo_libro: Comercio exterior y crédito documentario; compraventas y garantías internacionales."	Autor: Villegas, Carlos Gilberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1647
Titulo_libro: La pena de clausura tributaria : 	Autor: Edwards, Carlos Enrique	Subtitulo_libro: Jurisprudencia de la Corte Suprema de Justicia de la Nación.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1648
"Titulo_libro: Concursos; comentario exegético de la ley 19551."	Autor: Fassi, Santiago C	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 4ta.ed.	Año_publicacion: 1992.	biblioitemnumber: 1649
Titulo_libro: Sistemas de ahorro previo por grupos cerrados, bienes, dinero, inmuebles.	Autor: Aguilar, Fernando	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1988.	biblioitemnumber: 1650
Titulo_libro: Teoría general e Institutos de derecho agrario.	Autor: Carrozza, Antonio	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1990.	biblioitemnumber: 1651
Titulo_libro: Manual de derecho agrario.	Autor: Brebbia, Fernando P	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1652
Titulo_libro: Ley nacional de procedimientos administrativos : 	Autor: Hutchinson, Tomás	Subtitulo_libro: Ley 19549.	Cantidad ejemplares: 4	Edicion: 1ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1653
Titulo_libro: Evición y juicios redhibiditorios.	Autor: Wayar, Ernesto Clemente	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1989.	biblioitemnumber: 1654
Titulo_libro: Evición y juicios redhibiditorios.	Autor: Wayar, Ernesto Clemente	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1989.	biblioitemnumber: 1655
Titulo_libro: Responsabilidad civil de los profesionales.Caracteres jurídico del contrato de seguro.	Autor: Trigo Represas, Félix A.	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1987.	biblioitemnumber: 1656
Titulo_libro: Obligaciones civiles y comerciales.	Autor: Ghersi, Carlos Alberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1657
Titulo_libro: Derecho civil : 	Autor: Ghersi, Carlos Alberto	Subtitulo_libro: parte general.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1993.	biblioitemnumber: 1658
Titulo_libro: Régimen de seguros : 	Autor: Zunino, Jorge Osvaldo	Subtitulo_libro: ley 17418.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1659
Titulo_libro: Régimen de obligaciones negociables : 	Autor: Villegas, Carlos Gilberto	Subtitulo_libro: ley 23576 con las modificaciones de la ley 23962.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1660
Titulo_libro: Régimen del código procesal civil y comercial de la Nación.	Autor: Arazi, Roland	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1661
Titulo_libro: Contratos comerciales modernos : 	Autor: Farina, Juan M.	Subtitulo_libro: modalidades de contratación empresaria.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1662
Titulo_libro: Régimen del contrato de trabajo : 	Autor: Fernandez Campon, Raúl	Subtitulo_libro: ley 20744 reformado por la ley 21297.	Cantidad ejemplares: 2	Edicion: 4ta.ed.	Año_publicacion: 1994.	biblioitemnumber: 1663
Titulo_libro: Régimen de accidentes de trabajo : 	Autor: Rainolter, Milton A.	Subtitulo_libro: Ley 24028.	Cantidad ejemplares: 2	Edicion: 3era.ed.	Año_publicacion: 1993.	biblioitemnumber: 1664
"Titulo_libro: Matemática financiera; supuestos."	Autor: Fontanals Albiol, Hortensia	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1665
Titulo_libro: Economía.	Autor: Samuelson, Paul Anthony	Subtitulo_libro: sin datos	Cantidad ejemplares: 7	Edicion: 11ra.ed.	Año_publicacion: 1984.	biblioitemnumber: 1666
Titulo_libro: Compendio  de geografía económica Mundial y Argentina.	Autor: Carlevari, Isidro J.F.	Subtitulo_libro: sin datos	Cantidad ejemplares: 13	Edicion: 1ra.ed.	Año_publicacion: 1985.	biblioitemnumber: 1667
Titulo_libro: Administración y estrategia : 	Autor: Hermida, Jorge Alfredo	Subtitulo_libro: un enfoque competitivo y emprendedor.	Cantidad ejemplares: 2	Edicion: 3ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1668
Titulo_libro: Organizaciones : 	Autor: Hall, Richard H.	Subtitulo_libro: estructura y proceso.	Cantidad ejemplares: 8	Edicion: 1ra.ed.	Año_publicacion: 1981.	biblioitemnumber: 1669
Titulo_libro: Manual de derecho civil : 	Autor: Borda, Guillermo A	Subtitulo_libro: parte general.	Cantidad ejemplares: 2	Edicion: 17ma.ed.	Año_publicacion: 1995.	biblioitemnumber: 1670
Titulo_libro: Estadística para administración y economía : 	Autor: Berenson, Mark L.	Subtitulo_libro: conceptos y aplicaciones.	Cantidad ejemplares: 10	Edicion: 1ra.ed.	Año_publicacion: 1986.	biblioitemnumber: 1671
Titulo_libro: Microcomputadoras : 	Autor: Long, Larry	Subtitulo_libro: con tutoriales para paquetes de software.	Cantidad ejemplares: 7	Edicion: 1ra.ed.	Año_publicacion: c1990.	biblioitemnumber: 1672
Titulo_libro: La economía de la Argentina : 	Autor: Ferrer, Aldo	Subtitulo_libro: las etapas del desarrollo y problemas actuales.	Cantidad ejemplares: 1	Edicion: 20ma.ed.	Año_publicacion: 1990.	biblioitemnumber: 1673
Titulo_libro: Cálculo diferencial e integral.	Autor: Purcell, Edwin J	Subtitulo_libro: sin datos	Cantidad ejemplares: 6	Edicion: 6ta.ed.	Año_publicacion: 1993.	biblioitemnumber: 1674
Titulo_libro: Fundamentos de estadística con Systat.	Autor: Ato, Manuel	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: sin datos	Año_publicacion: 1994.	biblioitemnumber: 1675
Titulo_libro: Introducción al derecho administrativo.	Autor: Dromi, José Roberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 20	Edicion: 1ra.ed.	Año_publicacion: 1986.	biblioitemnumber: 1676
Titulo_libro: Evaluación de los sistemas formales en ciencias fácticas.	Autor: Scarano, Eduardo R.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1982.	biblioitemnumber: 1677
Titulo_libro: Metodología de la investigación.	Autor: Asti Vera, Armando	Subtitulo_libro: sin datos	Cantidad ejemplares: 11	Edicion: 1ra.ed.	Año_publicacion: 1973.	biblioitemnumber: 1678
Titulo_libro: Documentación y metodología de la investigación científica.	Autor: Currás, Emilia	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1985.	biblioitemnumber: 1679
Titulo_libro: Cómo se hace una tesis.	Autor: Eco, Umberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 5	Edicion: 17ma.ed.	Año_publicacion: 1995.	biblioitemnumber: 1680
Titulo_libro: Técnicas de investigación en ciencias sociales : 	Autor: Blanchet, Alain	Subtitulo_libro: datos, observación, entrevista, cuestionario.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1989.	biblioitemnumber: 1681
Titulo_libro: Arte de la persuasión oral : 	Autor: Fernandez, Alberto Vicente	Subtitulo_libro: teoría y práctica de la comunicación por la palabra.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 1682
Titulo_libro: Educación y palabra : 	Autor: Fernandez, Alberto Vicente	Subtitulo_libro: ensayo sobre Quintiliano.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1987.	biblioitemnumber: 1683
Titulo_libro: La aventura del trabajo intelectual : 	Autor: Zubizarreta, Armando F	Subtitulo_libro: cómo estudiar e investigar.	Cantidad ejemplares: 2	Edicion: 2da.ed.	Año_publicacion: 1986.	biblioitemnumber: 1684
Titulo_libro: Diccionario del comercio exterior.	Autor: Budic, Domingo Valentín	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1983.	biblioitemnumber: 1685
Titulo_libro: El tomismo en la filosofía contemporánea de la economía.	Autor: Cravero, José Mario Juan	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1997.	biblioitemnumber: 1686
Titulo_libro: Historia de la filosofía occidental : 	Autor: Russell, Bertrand	Subtitulo_libro: la filosofía antigua, la filosofía católica.	Cantidad ejemplares: 2	Edicion: 3ra.ed.	Año_publicacion: 1978.	biblioitemnumber: 1687
Titulo_libro: Historia de la filosofía occidental : 	Autor: Russell, Bertrand	Subtitulo_libro: la filosofía antigua, la filosofía católica.	Cantidad ejemplares: 2	Edicion: 3ra.ed.	Año_publicacion: 1978.	biblioitemnumber: 1688
Titulo_libro: Introducción a la lógica y al método científico : 	Autor: Cohen, Morris R	Subtitulo_libro: lógica formal.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 1689
Titulo_libro: Introducción a la lógica y al método científico : 	Autor: Cohen, Morris R	Subtitulo_libro: lógica aplicada y método científico.	Cantidad ejemplares: 9	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 1690
Titulo_libro: Lógica simbólica.	Autor: Copi, Irving M	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1979.	biblioitemnumber: 1691
Titulo_libro: Introducción a la lógica.	Autor: Copi, Irving M	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 29na.ed.	Año_publicacion: 1986.	biblioitemnumber: 1692
Titulo_libro: Ejercicios de lógica.	Autor: Moreno, Alberto	Subtitulo_libro: sin datos	Cantidad ejemplares: 4	Edicion: 3ra.ed.	Año_publicacion: 1983.	biblioitemnumber: 1693
Titulo_libro: Lógica simbólica y elementos de metodología.	Autor: Gianella De Salama, Alicia	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 8va.ed.	Año_publicacion: 1988.	biblioitemnumber: 1694
Titulo_libro: Lógica simbólica y elementos de metodología.	Autor: Gianella De Salama, Alicia	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1975.	biblioitemnumber: 1695
Titulo_libro: Lógica simbólica y elementos de metodología.	Autor: Gianella De Salama, Alicia	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 7ma.ed.	Año_publicacion: 1986.	biblioitemnumber: 1696
Titulo_libro: Lógica matemática.	Autor: Ferrater Mora, José	Subtitulo_libro: sin datos	Cantidad ejemplares: 7	Edicion: 2da.ed.	Año_publicacion: 1983.	biblioitemnumber: 1697
Titulo_libro: Teoría del conocimiento.	Autor: Hessen, Johannes	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 20ma.ed.	Año_publicacion: 1982.	biblioitemnumber: 1698
Titulo_libro: Los métodos actuales del pensamiento.	Autor: Bochenski, I.M.	Subtitulo_libro: sin datos	Cantidad ejemplares: 3	Edicion: 15ta.ed.	Año_publicacion: 1985.	biblioitemnumber: 1699
Titulo_libro: La investigación científica : 	Autor: Bunge, Mario	Subtitulo_libro: su estrategia y su filososfía.	Cantidad ejemplares: 8	Edicion: 2da.ed.	Año_publicacion: 1983.	biblioitemnumber: 1700
Titulo_libro: Metodología y administración.	Autor: Carrillo Landeros, Ramiro	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1982.	biblioitemnumber: 1701
Titulo_libro: Métodos de las ciencias sociales.	Autor: Duverger, Maurice	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 10ma.ed.	Año_publicacion: 1978.	biblioitemnumber: 1702
Titulo_libro: Métodos de las ciencias sociales.	Autor: Duverger, Maurice	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 12da.ed.	Año_publicacion: 1981.	biblioitemnumber: 1703
Titulo_libro: La lógica de la investigación social.	Autor: Gibson, Quentin	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 1982.	biblioitemnumber: 1704
Titulo_libro: Filosofía de la ciencia natural.	Autor: Hempel, Carl G.	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: sin datos	Año_publicacion: 1985.	biblioitemnumber: 1705
Titulo_libro: La estructura de la ciencia : 	Autor: Nagel, Ernest	Subtitulo_libro: problemas de la lógica de la investigación científica.	Cantidad ejemplares: 7	Edicion: 1ra.ed.	Año_publicacion: 1981.	biblioitemnumber: 1706
Titulo_libro: Metodología de la investigación en administración, contaduría y economía.	Autor: Namakforoosh, Mohammad Naghi	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1984.	biblioitemnumber: 1707
Titulo_libro: Metodología y técnicas de investigación en ciencias sociales.	Autor: Pardinas, Felipe	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 27ma.ed.	Año_publicacion: 1984.	biblioitemnumber: 1708
Titulo_libro: La lógica de la investigación cientifica.	Autor: Popper, Karl R	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: sin datos	Año_publicacion: 1982.	biblioitemnumber: 1709
Titulo_libro: Introducción a las ciencias sociales.	Autor: Ayala, Francisco	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: sin datos	Año_publicacion: 1988.	biblioitemnumber: 1710
Titulo_libro: Rediseñando el futuro.	Autor: Ackoff, Russell L.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: sin datos	Año_publicacion: 1985.	biblioitemnumber: 1711
Titulo_libro: La realidad social.	Autor: Beltran, Miguel	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 1712
Titulo_libro: Introducción a la sociología.	Autor: Bottomore, T.B.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 11ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1713
Titulo_libro: La sociedad : 	Autor: Chinoy, Ely	Subtitulo_libro: una introducción a la sociología.	Cantidad ejemplares: 6	Edicion: 1ra.ed.	Año_publicacion: 1983.	biblioitemnumber: 1714
Titulo_libro: La estructura de clases en las sociedades avanzadas.	Autor: Giddens, Anthony	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1715
Titulo_libro: Sociología.	Autor: Giner, Salvador	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 10ma.ed.	Año_publicacion: 1993.	biblioitemnumber: 1716
Titulo_libro: Familia y sociedad industrial.	Autor: Harris, Christopher Charles	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1986.	biblioitemnumber: 1717
Titulo_libro: Sociología de la vida cotidiana.	Autor: Heller, Agnes	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 4ta.ed.	Año_publicacion: 1994.	biblioitemnumber: 1718
Titulo_libro: Textos de sociología de la familia : 	Autor: Lopez, Enrique Martín	Subtitulo_libro: una recluta de los clásicos.	Cantidad ejemplares: 1	Edicion: sin datos	Año_publicacion: 1993.	biblioitemnumber: 1719
Titulo_libro: Sociedad y política.	Autor: Benedicto, Jorge	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1995.	biblioitemnumber: 1720
Titulo_libro: Sociología del sistema mundial.	Autor: Tortosa, José M	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1992.	biblioitemnumber: 1721
Titulo_libro: Del trabajo al empleo : 	Autor: Tripier, Pierre	Subtitulo_libro: ensayo de sociología.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1995.	biblioitemnumber: 1722
Titulo_libro: Comunicación de masas y pensamiento político.	Autor: Garcia Fajardo, José Carlos	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1992.	biblioitemnumber: 1723
Titulo_libro: La historia y lo cotidiano.	Autor: Ferrarotti, Franco	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 1724
Titulo_libro: ¿Por qué los humanos tenemos cultura? : 	Autor: Carrithers, Michael.	Subtitulo_libro: una aproximación a la antropología.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1995.	biblioitemnumber: 1725
Titulo_libro: Introducción a los métodos de la sociología empírica.	Autor: Mayntz, Renate	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: sin datos	Año_publicacion: 1993.	biblioitemnumber: 1726
Titulo_libro: La comparación en las ciencias sociales.	Autor: Sartori, Giovanni	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: sin datos	Año_publicacion: 1994.	biblioitemnumber: 1727
Titulo_libro: Clase y estratificación : 	Autor: Crompton, Rosemary	Subtitulo_libro: una introducción a los debates actuales.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1728
Titulo_libro: Mujer, trabajo y domicilio : 	Autor: Martinez Veiga, Ubaldo	Subtitulo_libro: los origenes de discriminación.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1995.	biblioitemnumber: 1729
Titulo_libro: Economía : 	Autor: Beker, Víctor Alberto	Subtitulo_libro: elementos de micro y macroeconomía.	Cantidad ejemplares: 4	Edicion: 1ra.ed.	Año_publicacion: 1994.	biblioitemnumber: 1730
Titulo_libro: Desarrollo económico.	Autor: Hagen, Everett E.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 1984.	biblioitemnumber: 1731
Titulo_libro: De lo rural a lo urbano.	Autor: Lefebvre, Henri	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 4ta.ed.	Año_publicacion: 1978.	biblioitemnumber: 1732
Titulo_libro: Estadística para economía y administración.	Autor: Mills, Richard L	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1980.	biblioitemnumber: 1733
Titulo_libro: Los límites del crecimiento : 	Autor: Meadows, Domella H.	Subtitulo_libro: informe al Club de Roma sobre el procedimiento de la humanidad.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1982.	biblioitemnumber: 1734
Titulo_libro: La clase política en el Estado de partidos.	Autor: Beyme, Klaus Von	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1995.	biblioitemnumber: 1735
Titulo_libro: Política y poder.	Autor: Buccheim, Hans	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1985.	biblioitemnumber: 1736
