Titulo del libro;Autor;Subtitulo del libro;Ejemplares disponibles;Edicion;Año publicacion
La integración económica regional y los convenios binacionales.;sin informacion;sin informacion;1;1ra.;1989
Bonos  ;Rosiello, Juan Carlos;al alcance de todos.;6;1ra.;2002
Medio siglo al servicio del país y de la profesión.;sin informacion;sin informacion;2;1ra.;1976
La profesión y los graduados en Ciencias Económicas en la República Argentina.;sin informacion;sin informacion;2;1ra.;1972
Dictámenes, recomendaciones e informes.;sin informacion;sin informacion;1;2da.;1978
Cultura y democracia.;sin informacion;sin informacion;3;1ra.;1987
Educación y democracia.;sin informacion;sin informacion;4;1ra.;1986
Aportes para la transformación del nivel medio.;sin informacion;sin informacion;3;1ra.;1987
Gastos e ingresos públicos provinciales 1970-1985.;sin informacion;sin informacion;2;1ra.;1991
Gastos e ingresos públicos provinciales 1970-1985.;sin informacion;sin informacion;2;1ra.;1991
Encuentro regional del noroeste argentino sobre integración latinoamericana.;sin informacion;sin informacion;1;1ra.;1992
Integración latinoamericana  ;sin informacion;informe base II.;2;1ra.;1992
La promoción de la inversión industrial en la Argentina.;sin informacion;sin informacion;1;1ra.;1988
Informe sobre el desarrollo mundial 1978.;sin informacion;sin informacion;1;1ra.;1978
La economía de la Argentina  ;Ferrer, Aldo;las etapas del desarrollo y problemas actuales.;3;1ra.;1963
Los inmigrantes.;Fast, Howard;sin informacion;1;1ra.;1979
Ley de Sociedades Comerciales  ;Nissen, Ricardo Augusto;artículos 1 al 162.;3;1ra.;1982
Legislación del trabajo.;Raimondi, Carlos A.;sin informacion;2;1ra.;1952
Enciclopedia de contabilidad y administración  ;Raimondi, Carlos A.;control y organización de empresas.;2;3ra.;1951
La economía de la Argentina  ;Ferrer, Aldo;las etapas del desarrollo y problemas actuales.;2;12da.;1977
El I.V.A. generalizado.;Martinez, Daniel;sin informacion;1;1ra.;1990
Diccionario Kapelusz.;sin informacion;sin informacion;1;1ra.;[199-]
Tratado de sociología del trabajo.;Friedman, Georges;sin informacion;11;1ra.;1971
Tratado de sociología del trabajo.;Friedman, Georges;sin informacion;11;1ra.;1971
Economía del transporte y la energía.;Grupe, Héctor J. C;sin informacion;10;1ra.;1971
Régimen del trabajo rural  ;Luparia, Carlos H;doctrina y legislación.;3;1ra.;1981
El nuevo sistema previsional  ;Corte, Néstor T.;ley 24241 comentada.;2;1ra.;1993
Ganancias  ;Guarnaschelli, Juan Carlos;curso integral de liquidación. Primera parte.;2;1ra.;1993
Costos por procesos y estándares.;Dominguez, Luis Martín;sin informacion;17;1ra.;1979
Sociedades Comerciales  ;sin informacion;ley 19550 exposición de motivos.;1;1ra.;1971
Primer Congreso Tributario.;sin informacion;sin informacion;1;1ra.;1993
Segundo Congreso Nacional de Informática y Teleinformática.;sin informacion;sin informacion;2;1ra.;1984
Anuario 1992  ;sin informacion;publicaciónes de trabajos docentes.;1;1ra.;1993
La estrella del sur.;Ocon, María Mercedes;sin informacion;1;1ra.;1985
En la luz deslumbrante  ;White, Max;vida de Goya.;1;1ra.;1948
Premio Municipalidad de Córdoba 1982  ;sin informacion;teatro.;1;1ra.;1982
Eugenia de Montijo.;Chapman, Hester W.;sin informacion;1;1ra.;1963
Argentina un país para invertir y crecer.;Dorfman, Miguel;sin informacion;2;5ta.;1993
Argentina en crecimiento  ;Dorfman, Miguel;La reforma económica y sus resultados 1989-1992.;6;1ra.;1992
Sistema ISO 9000 de gestión de la calidad  ;sin informacion;directrices para las empresas de países en desarrollo.;1;1ra.;1993
Congreso Nacional de Profesionales en Ciencias Económicas.;sin informacion;sin informacion;1;1ra.;1990
Jornadas Universitarias de Contabilidad.;sin informacion;sin informacion;1;1ra.;1991
Ejemplos de aplicación de las RT 8 y 9  ;Fabris, Ricardo;estados contables, anexos y notas.;2;1ra.;1988
Colección de sociedades comerciales  ;sin informacion;leyes y comentarios.;1;1ra.;[199-]
Colección de sociedades comerciales  ;sin informacion;leyes y comentarios.;1;1ra.;[199-]
Colección de sociedades comerciales  ;sin informacion;leyes y comentarios.;1;1ra.;[199-]
Colección de sociedades comerciales  ;sin informacion;leyes y comentarios.;1;1ra.;[199-]
Metodología operativa para el análisis y determinación de estructuras de la organización  ;Pienovi, Aroldo Adolfo;un enfoque a nivel teórico práctico.;4;1ra.;1976
Mapa de la pobreza en la Argentina.;Amadasi, Enrique;sin informacion;6;1ra.;1994
La guerra económica soviética.;Loring Allen, Robert;sin informacion;1;1a.;1962
El mercado de capitales en el Paraguay.;Sánchez Masi, Luis;sin informacion;1;1ra.;1972
La moneda.;Leiserson, Sansón;sin informacion;1;1a.;1944
La actual situación económica y financiera de la Nación Argentina.;Labougle, Alfredo;sin informacion;1;1ra.;1967
Introduccion al desarrollo económico.;Buchanan, Norman S.;sin informacion;1;1ra. ;1953
Recent economic changes in New Zealand.;Sutch, W.B.;sin informacion;1;1ra.;1936
Hacia una sociedad justa.;Bowles, Chester;sin informacion;1;1a.;1963
Bases y método para la aprobación social de la tierra.;Villalobos Domínguez, C.;sin informacion;1;1a.;1932
Hombre, dinero y bienes.;Gambs, John S.;sin informacion;1;1a.;1958
La economía de la región norpatagónica y perspectivas para su futuro desarrollo integral.;Dorfman, Adolfo;sin informacion;1;1ra.;1960
Introducción a la economía.;Dobb, Maurice;sin informacion;1;1a.;1961
Sistema monetario internacional  ;Rolfe, Sidney E.;desarrollo y perspectivas.;1;1a.;1976
Nociones de economía social.;Guitart, P. Ernesto;sin informacion;1;2da.;1917
