Titulo del libro;Autor;Subtitulo del libro;Ejemplares disponibles;Edicion;Año publicacion
Formularios y libros.;sin informacion;sin informacion;1;1ra.;1940
Contabilidad gerencial.;Anthony, Robert N.;sin informacion;1;1ra.;1975
Elementos de contabilidad.;Pyle, Willliam W.;sin informacion;2;1ra.;1974
Elementos de contabilidad.;Pyle, William W;sin informacion;2;1ra.;1974
Contabilidad de empresas.;Welsch, Glenn A.;sin informacion;2;1ra.;1974
Contabilidad de empresas.;Welsch, Glenn A.;sin informacion;2;1ra.;1974
El objetivo de los estados contables.;Lazzati, Santiago C;sin informacion;1;1ra.;1974
Contabilidad financiera  ;Mcneill, I.Eugene;sistema de información para tomar decisiones.;2;1ra.;1973
Contabilidad para la dirección.;Anthony, Robert N.;sin informacion;3;1ra.;1976
Inflación y balance.;Lopes De Sa, A.;sin informacion;2;1ra.;1964
Técnicas de costeo directo.;Woolsey, Samuel M.;sin informacion;1;1ra.;1968
Manual práctico del contador.;Colacioppo, Vicente;sin informacion;2;4ta.;1966
Contabilidad e inflación  ;Lisdero, Arturo E.;el ajuste integral, los revaluos legales, contables e impositivos.;1;1ra.;1973
Contabilidad administrativa.;Murphy, Mary E;sin informacion;1;1ra.;1971
El Balance y el crédito bancario.;Clemens, J.H.;sin informacion;1;1ra.;1962
Contabilidad acelerada  ;Nelson, A.Tom;enfoque administrativo.;1;1ra.;1974
Normas y disposiciones para la profesión contable  ;sin informacion;normas mínimas de auditoría;2;1ra.;1970
Contabilidad analítica.;Landa Garamendi, Jesus M.;sin informacion;1;1ra.;1966
Presupuestos de operación.;Vatter, William J.;sin informacion;1;1ra.;1971
Organización de créditos y cobranzas.;Cupelli, Rodolfo José;sin informacion;1;1ra.;1969
Valuación de acciones.;Bertora, Héctor Raúl;sin informacion;1;1ra.;1956
Peritajes contables.;Gallo, Hugo Alfredo;sin informacion;1;1ra.;1971
Contabilidad de empresas.;Batardon, León;sin informacion;1;2da.;1944
La contabilidad en hojas movibles.;Batardon, León;sin informacion;1;2da.;1944
La contabilidad por el sistema centralizador.;Batardon, León;sin informacion;1;2da.;1944
Principios de contabilidad.;Braden, Andrew D.;sin informacion;1;1ra.;1971
Introducción programada a la contabilidad financiera.;Mc Neill, I.Eugene;sin informacion;1;1ra.;1973
Principios de contabilidad y control.;Vance, Lawrence L.;sin informacion;1;1ra.;1975
Contabilidad básica.;Holmes, Arthur W.;sin informacion;1;1ra.;1975
Estados contables  ;sin informacion;teoría y práctica.;1;1ra.;1979
Contabilidad para la gerencia  ;Lynch, Richard M.;planeación y control.;1;1ra.;1970
Análisis práctico de estados financieros.;Foulke, Roy A.;sin informacion;1;1ra.;1973
Contabilidad teoría y práctica  ;Kester, Roy B.;principios de contabilidad.;1;2da.;1943
Contabilidad teoría y práctica  ;Kester, Roy B.;principios de contabilidad.;3;8va.;1976
Contabilidad teoría y práctica  ;Kester, Roy B.;contabilidad superior.;3;8va.;1976
Contabilidad teoría y práctica  ;Kester, Roy B.;contabilidad aplicada.;3;8va.;1976
Contabilidad de costos.;Blocker, John G.;sin informacion;2;1ra.;1957
Contabilidad de costos.;Blocker, John G.;sin informacion;2;1ra.;1957
Coste estandar por secciones homogéneas  ;Ibañez Ballano, Ricardo;teoría y práctica de su aplicación.;1;1ra.;1969
Planning, costesy presupuestos en las industrias mecánicas.;Viñas Carles, J.;sin informacion;1;1ra.;1962
Contabilidad y control de costos.;Gillespie, Cecil;sin informacion;2;1ra.;1961
Costes standard y contabilidad marginal.;Gillespie, Cecil;sin informacion;1;3ra.;1967
Análisis estadístico de los costes.;Johnston, Jack;sin informacion;1;1ra.;1966
Costes de la distribución y formación de los precios.;Triolaire, Guy;sin informacion;1;1ra.;1965
Control de costes.;Evans, Edward C.D.;sin informacion;1;1ra.;1966
Costos.;Bach, Juan Rene;sin informacion;1;3ra.;1956
Costos.;Bach, Juan Rene;sin informacion;1;3ra.;1956
Contabilidad de costos.;Burton, Norman Lee;sin informacion;2;4ta.;1960
Materia prima y mano de obra.;Aimar Franco, Osvaldo;sin informacion;3;1ra.;1975
Las cuentas en la contabilidad de costos.;Aimar Franco, Osvaldo;sin informacion;2;1ra.;1970
Contabilidad de costos para fabricantes en pequeño.;Brummet, R.Lee;sin informacion;1;6ta.;1964
Costos  ;Lopes De Sa, A.;organización y contabilidad en la industria.;2;1ra.;1963
Costos standard.;Cholvis, Francisco;sin informacion;1;1ra.;1954
Costos funcionales.;Cholvis, Francisco;sin informacion;1;1ra.;1950
Análisis económico de la empresa y reducción de costes.;Conde López, Alejandro;sin informacion;2;1ra.;1969
Manual del contador de costos.;Lang, Theodore;sin informacion;8;1ra.;1966
Contabilidad de costos  ;Lawrence, W.B.;teoría y enunciados de problemas y ejercicios.;4;1ra.;1960
Contabilidad de costos  ;Lawrence, W.B.;soluciones de los problemas.;4;1ra.;1943
Curso completo de contabilidad  ;Gillespie, Cecil;introducción a la contabilidad de costos.;1;2da.;1964
Curso completo de contabilidad  ;Gillespie, Cecil;procedimiento contable para los costos estandar.;2;1ra.;1971
Técnicas del control de costos de oficina.;sin informacion;sin informacion;1;2da.;1962
Política de adquisiciones y gestión de stocks.;Young Oliver, Julio César;sin informacion;1;1ra.;1972
Conducción y liderazgo.;Basil, Douglas C.;sin informacion;1;1ra.;1972
Contabilidad de control de costos.;sin informacion;sin informacion;1;2da.;1964
Costos industriales.;Mussini, Vicente;sin informacion;1;2da.;1969
Introducción a la contabilidad de costos.;Aimar Franco, Osvaldo;sin informacion;1;1ra.;1969
Activos fijos  ;Dyckman, Thomas;inversiones de carácter permanente.;1;1ra.;1972
Manual de costos de producción ganaderos.;Rhese, Carlos;sin informacion;1;1ra.;1970
Contabilidad teórica y práctica  ;Kester, Roy B.;soluciones de los ejercicios prácticos.;3;8va.;1976
Curso completto de contabilidad  ;Coulter Davis, Ernest;auditoria.;4;2da.;1958
Curso de auditoria.;Lopes De Sa, A.;sin informacion;2;1ra.;1962
Curso de auditoria.;Lopes De Sa, A.;sin informacion;2;1ra.;1962
Auditoria de balances.;Lopes De Sa, A.;sin informacion;6;1ra.;1969
Curso de auditoria.;Lopes De Sa, A.;sin informacion;3;2da.;1974
Curso de auditoria.;Lopes De Sa, A.;sin informacion;3;2da.;1974
Auditoría administrativa  ;Leonard, William P.;evaluación de los métodos y eficiencia administrativa.;9;1ra.;1977
Tratado de auditoría.;Seoane, Joaquín Raúl;sin informacion;2;1ra.;1946
Tratado de auditoría.;Seoane, Joaquín Raúl;sin informacion;1;1ra.;1946
Tratado de auditoría.;Seoane, Joaquín Raúl;sin informacion;1;1ra.;1946
Auditoría  ;Holmes, Arthur W.;principios y procedimiento.;2;1ra.;1979
Auditoría  ;Holmes, Arthur W.;soluciones de los problemas.;2;1ra.;1979
Principios básicos de auditoría.;Holmes, Arthur W.;sin informacion;3;1ra.;1969
La Argentina estructural  ;Bertazza, Humberto J.;propuestas de políticas públicas para el mediano y largo plazo.;1;1ra.;2013
La tributación en los paises integrantes del Mercosurante una nueva realidad  ;Vitta, José María;globalización, integración regional y crecimiento de las competenc.;1;1ra.;2013
Economía de fronteras abiertas  ;Heymann, Daniel;exploraciones en sistemas sociales complejos.;1;1ra.;2013
La desocupación en Argentina  ;Diaz Cafferata, Alberto M.;una visión regional.;1;1ra.;1999
Auditoría y análisis de elos estados.;Pierre, José Alfredo;sin informacion;3;1ra.;1961
Procedimientos de auditoría.;Chapman, William Leslie;sin informacion;2;1ra.;1965
Auditoría analítica.;Skinner, R.M.;sin informacion;1;1ra.;1969
Procedimientos de auditoría.;Lawrence, Charles;sin informacion;1;1ra.;1971
Contabilidad analítica de explotación.;Rapin, A;sin informacion;1;1ra.;1961
Auditoría  ;Holmes, Arthur W.;principios y procedimientos.;2;1ra.;1945
Auditoría  ;Holmes, Arthur W.;principios y procedimientos.;2;1ra.;1945
Curso de finanzas y derecho tributario.;De Juano, Manuel;sin informacion;2;1ra.;1964
Statistical analysis.;Bryant, Edward C.;sin informacion;1;1ra.;1960
Matemática aplicada al comercio y la economía.;Mason, Robert D;sin informacion;1;1ra.;1975
Algebra básica.;Martin, E.Wainright;sin informacion;1;1ra.;1972
Introducción a la estadística matemática.;Udny Yule, George;sin informacion;1;5ta.;1967
Las matemáticas y la enseñanza de las artes industriales.;sin informacion;sin informacion;1;1ra.;1964
Manual de matematicas financieras.;Moore, Justin H;sin informacion;2;1ra.;1958
Poderes controlados.;Pérez, Carlos Antonio;sin informacion;50;1ra.;2007
Finanzas públicas en la práctica  ;Garriga, Marcelo;selección de casos y aplicaciones.;1;1ra.;2013
Curso de finanzas y derecho tributario  ;De Juano, Manuel;parte general.;1;2da.;1969
Revolución económica e industrialización en América Latina.;Teichert, Pedro C.M.;sin informacion;1;2da.;1961
Facturación y registración.;Bavera, María Josefina;sin informacion;4;3ra.;2005
Una nueva inserción comercial para América Latina.;Redrado, Martín;sin informacion;1;1ra.;2004
El nuevo interregionalismo trasatlántico  ;Grisanti, Luis Xavier;la asociación estratégica Unión Europea-América Latina.;1;1ra.;2004
Síntesis socioeconómica de las Provincias Argentinas.;sin informacion;sin informacion;2;1ra.;1996
Los primeros gobiernos peronistas y la consolidación del país industrial  ;Basualdo, Eduardo M;éxitos y fracasos.;1;1ra.;2004
Humanismo económico y tecnología científica  ;Di Marco, Luis Eugenio;bases para la refundación del análisis económico.;1;1ra.;1999
Facultades de verificación y fiscalización.;Rueda, Eliseo;sin informacion;3;1ra.;2015
Por si acaso te acosan ...  ;Piñuel, Iñaki;100 cosas que necesitas saber para salir del acoso psicológico en el trabajo.;1;1ra.;2013
Mobbing y otras violencias en el ambito laboral  ;Giuntoli, María Cristina;leyes provinciales, proyectos de Ley Nacional.;1;1ra.;2006
Vidas desperdiciadas  ;Bauman, Zygmunt;la modernidad y sus parias.;1;1ra.;2012
Barómetro de la deuda social Argentina.;sin informacion;sin informacion;1;1ra.;2008
Código Civil y Comercial de la Nación  ;Bueres, Alberto J.;analizado, comparado y concordado.;30;1ra.;2015
Código Civil y Comercial de la Nación  ;Bueres, Alberto J.;analizado, comparado y concordado.;30;1ra.;2015
Leyes tributarias actualizadas con las modificaciones dispuestas por las leyes 23549, 23658, 23697, 23760, 23765, 23871, 23905, 23966 y 24073.;sin informacion;sin informacion;1;1ra.;1995
Decimo tercer encuentro de cátedras de ciencias sociales y humanísticas para las ciencias económicas.;Garces, Carlos Alberto;sin informacion;1;1ra.;2006
Recopilación de series históricas del producto bruto jujeño (1970-2011);Martinez, Ricardo Gabriel;sin informacion;8;1ra.;2013
Apuntes preliminares para sistematizar aportes que integren las perspectivas micro, meso y macro contables de programas de inclusión social.;Rodriguez De Ramirez, María Del Carmen;sin informacion;1;1ra.;[19--]
Programas de inclusión social en Argentina  ;Rodriguez De Ramirez, María Del Carmen;una aproximación a la complejidad de las articulaciones micro, meso y macro contables.;1;1ra.;[19--]
Serie de investigaciones sobre Estado, Administración Pública y Sociedad.;sin informacion;sin informacion;1;1ra.;[19--]
Serie de investigaciones sobre Estado, Administración Pública y Sociedad.;sin informacion;sin informacion;1;1ra.;[19--]
Educación matemática y buenas prácticas  ;Planas, Núria;infantil, primaria, secundaria y  educación superior.;1;1ra.;2009
Matemática escolar y libros de texto  ;Villella, José;un estudio desde la didáctica de la matemática.;1;1ra.;2007
Formación educación y docencia.;Andreoli, Víctor;sin informacion;1;1ra.;2014
Código civil y comercial  ;Zannoni, Eduardo A.;concordado con el régimen derogado y referenciado con legislación vigente.;1;1ra.;2015
Gobierno corporativo  ;Casal, Armando Miguel;dirección, administración, y control de organizaciones en forma ética y responsable.;1;1ra.;2010
Monotributo  ;sin informacion;régimen simplificado para pequeños contribuyentes.;1;1ra.;2015
Procedimiento tributario ante la AFIP.;Lobera, Elizabeth R;sin informacion;1;7ma.;2013
Proyecto turístico en Quebrada y Puna.;Altamirano, Laura C.;sin informacion;14;1ra.;2000
Las infraestructuras y los equipamientos en la gestión y planificación sostenible de las ciudades.;Roccatagliata, Juan Alberto;sin informacion;7;1ra.;2013
Aportes para la Evaluación Institucional de la Universidad Nacional de Jujuy.;Vizzoni, Raúl Ismael;sin informacion;7;1ra.;2008
La inmigración ilegal en Jujuy.;Cardozo, Eduardo F.;sin informacion;1;1ra.;1999
Premio a la innovación y mejoramiento de las políticas públicas 06-07  ;sin informacion;categoria maestría.;1;1ra.;2008
Premio a la innovación y mejoramiento de las políticas públicas 06-07  ;sin informacion;categoria doctorado.;1;1ra.;2008
Informe Nacional sobre Desarrollo Humano 2013  ;sin informacion;Argentina en un mundo incierto ...;1;1ra.;2013
Tratado de organización costos y balances  ;Cholvis, Francisco;organización y administración de empresas.;1;3ra.;1968
Tratado de organización costos y balances  ;Cholvis, Francisco;organización y administración de empresas.;1;3ra.;1968
Tratado de organización costos y balances  ;Cholvis, Francisco;contabilidad de costos.;1;3ra.;1968
Tratado de organización costos y balances  ;Cholvis, Francisco;auditoría.;1;3ra.;1968
Tratado de organización costos y balances  ;Cholvis, Francisco;análisis de stados económicos y financieros.;1;3ra.;1968
Ejercicios de contabilidad superior.;Kholer, E.L.;sin informacion;1;1ra.;1962
Soluciones a los ejercicios de contabilidad superior.;Kholer, Eric Louis;sin informacion;1;1ra.;1962
Manual práctico del contador.;Colacioppo, Vicente;sin informacion;1;1ra.;1960
Estudio de tiempos y economía de movimientos.;Morrow, Robert Lee;sin informacion;1;1ra.;1957
Contabilidad  ;Cholvis, Francisco;primer curso.;1;7ma.;1958
Contabilidad  ;Cholvis, Francisco;tercer curso.;1;7ma.;1958
Contabilidad  ;Cholvis, Francisco;cuarto curso.;2;7ma.;1958
Contabilidad  ;Cholvis, Francisco;quinto curso.;1;7ma.;1958
Contabilidad  ;Cholvis, Francisco;organización del comercio y de la empresa.;1;7ma.;1958
Contabilidad  ;Cholvis, Francisco;los fraudes del personal, balances falsos, análisis e interpretación de balances y control presupuestario.;1;6ta.;1958
Contabilidad  ;Cholvis, Francisco;nociones de derecho administrativo y legislación fiscal.;1;3ra.;1958
Nociones de comercio y derecho mercantil  ;Floriani, Humberto;leyes impositivas.;1;5ta.;1954
Cálculos mercantiles aplicados al comercio, a las industrias y las finanzas.;Floriani, Humberto;sin informacion;1;5ta.;1954
Organización mercantil  ;Floriani, Humberto;propaganda y publicidad - correspondencia comercial - taquigrafía ...;1;5ta.;1954
Contabilidad y teneduría de libros.;Floriani, Humberto;sin informacion;1;5ta.;1954
Teneduría de libros  ;Floriani, Humberto;contabilidad centralizada y contabilidad mecánica interpretación de balances.;1;5ta.;1954
Contabilidades aplicadas  ;Floriani, Humberto;sociedad anónima, agrícola, ganadera, industrial ...;1;5ta.;1954
Contabilidad superior  ;Floriani, Humberto;contabilidad de costos-análisis económico-financiero de empresas ...;1;5ta.;1954
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;mra.;2012
Doctrina penal tributaria y económica.;Gomez, Teresa;sin informacion;1;1ra.;2012
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2013
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2013
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2013
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2013
Doctrina penal tributaria y económica.;Gomez, Teresa;sin informacion;1;1ra.;2013
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2014
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2014
Doctrina penal tributaria y económica.;Gomez, Teresa;sin informacion;1;1ra.;2014
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2014
Doctrina penal tributaria y económica.;Gómez, Teresa;sin informacion;1;1ra.;2015
Régimen de concursos y quiebras  ;Rouillon, Adolfo A. N;Ley 24522.;1;16ta.;2014
Ganancias y bienes personales, período fiscal 2014  ;sin informacion;suplemento agenda impositiva.;1;1ra.;2014
Ganancias y bienes personales, período fiscal 2014  ;sin informacion;suplemento práctica y actualidad tributaria.;1;1ra.;2014
Procedimiento fiscal y administrativo.;sin informacion;sin informacion;1;1ra.;2015
Elaboración del plan de estudios de la universidad  ;Lattuca, Lisa R;los planes académicos en contexto.;1;1ra.;2014
Los derroteros del estado empresario en la Argentina  ;Regalsky, Anddrés M.;siglo XX.;1;1ra.;2015
Derecho societario  ;Richard, Efraín Hugo;sociedades comerciales, civil y cooperativa.;3;2da.;2007
Derecho societario  ;Richard, Efraín Hugo;sociedades comerciales, civil y cooperativa.;3;2da.;2007
La economía del sector público.;Stiglitz, Joseph E.;sin informacion;5;3ra.;c2000
Historia de la economía.;Galbraith, John Kenneth;sin informacion;2;1ra.;2012
Intrducción a la teoría general de la administración.;Chiavenato, Idalberto;sin informacion;1;8va.;2014
Estructura del mercado turístico.;Montaner Montejano, Jordi;sin informacion;2;2da.;2006
Administración y liquidación de sueldos y jornales  ;Orozco, Néstor R;aspectos laborales, previsionales e impositivos.;5;10.;2012
Comportamiento organizacional.;Robbins, Stephen P.;sin informacion;5;15.;2013
Contabilidad superior.;Fowler Newton, Enrique;sin informacion;5;7ma.;2016
Contabilidad superior.;Fowler Newton, Enrique;sin informacion;5;7ma.;2016
Derecho civil  ;Wayar, Ernesto Clemente;obligaciones.;3;2da.;2004
Derecho civil  ;Wayar, Ernesto Clemente;obligaciones.;3;2da.;2004
Introducción a las Normas Internacionales de Información Financiera (NIIF);Castro, José Luis;sin informacion;2;1ra.;2013
Investigación de mercados.;Malhotra, Naresh K;sin informacion;4;5ta.;2008
Ley de cheques 24452  ;Paolantonio, Martín E.;comentario exegético.;3;1ra.;2011
Manual de derecho civil.;Borda, Guillermo A.;sin informacion;5;14ta.;2012
Manual de derecho laboral.;Grisolia, Julio Armando;sin informacion;4;6ta.;2015
Medición patrimonial contable  ;Gelso, Aldo;casos introductorios teórico-prácticos.;10;1ra.;2014
Sistemas administrativos  ;Gilli, Juan José;técnicas y aplicaciones.;5;3ra.;1998
Sistemas administrativos  ;Gilli, Juan José;técnicas y aplicaciones.;5;4ta.;2006
Tratado de auditoria.;Fowler Newton, Enrique;sin informacion;4;4ta.;2009
Tratado de auditoria.;Fowler Newton, Enrique;sin informacion;4;4ta.;2009
Macroeconomía  ;Quintana, Humberto Leopoldo;guía de aprendizaje.;5;1ra.;2009
Macroeconomia  ;Jure, Virginia;guía de aprendizaje.;7;1ra.;2012
El sistema de información contable.;Ostengo, Héctor Carlos;sin informacion;20;2da.;2015
Normas contables para entes pequeños y entes medianos  ;Torres, Carlos Federico;análisis y aplicación de la Resolución Técnica N§41 de la FACPCE ...;8;1ra.;2016
Resolución técnica N§41  ;Gelso, Aldo;normas contables para entes pequeños.;10;1ra.;2015
Resolucion técnica N§31  ;Gelso, Aldo;modelo de revaluación de bienes de uso, excepto activos biológicos.;5;2da.;2013
Código Civil y Comercial de la Nación  ;sin informacion;aprobado por ley 26994, promulgado según decreto 1795/2014.;21;1ra.;2014
Contabilidad  ;Pahlen Acuña, Ricardo J. M;conceptualización didáctica aplicada.;12;1ra.;2014
Manual de investigación educativa  ;Denzin, Norman K;el campo de la investigación cualitativa.;1;1ra.;2011
Manual de investigación educativa  ;Denzin, Norman K;paradigmas y perspectivas en disputa.;1;1ra.;2011
Manual de investigación educativa  ;Denzin, Norman K;estrategias de investigación cualitativa.;1;1ra.;2011
La enseñanza y los profesores, III  ;Biddle, Bruce J.;la reforma de la enseñanza en un mundo en transformación.;1;1ra.;2000
El oficio de enseñar  ;Litwin, Edith;condiciones y contextos.;1;1ra.;2014
La autoridad en la universidad  ;Pierella, María Paula;vínculos y experiencias entre estudiantes, profesores y saberes.;1;1ra.;2014
Miedo y osadía  ;Freire, Paulo;la cotidianidad del docente que se arriesga a practicar pedagogía transformadora.;1;1ra.;2014
Manual de escritura para científicos sociales  ;Becker, Howard;cómo empezar y terminar una tesis, un libro o un artículo.;1;1ra.;2012
Más didactica  ;Steiman, Jorge;en la educación superior.;1;2da.;2012
Investigación social  ;Souza Minayo, María Cecilia De;teoría, método y creatividad.;1;1ra.;2003
Los siete saberes necesarios para la educación del futuro.;Morin, Edgar;sin informacion;1;1ra.;2001
Formación de investigadores educativos  ;Rojas Soriano, Raúl;una propuesta de investigación.;1;9na.;2000
Epistemología y sociedad  ;Follari, Roberto A;acerca del debate contemporáneo.;1;1ra.;2007
Resoluciones Técnicas Vigentes versión 3.2.;sin informacion;sin informacion;6;1ra.;2014
La economía del sector público.;Stiglitz, Joseph E.;sin informacion;2;4ta.;2015
Análisis de estados financieros  ;Myer, John N.;principios y técnicas.;1;1ra.;1965
Curso de derecho societario.;Nissen, Ricardo Augusto;sin informacion;5;3ra.;2015
Régimen de concursos y quiebras  ;Rouillon, Adolfo A. N;ley 24522.;7;17ma.;2015
El nuevo Código Civil y Comercial y sus efectos en la disciplina contable  ;Ostengo, Héctor Carlos;un análisis comparativo.;4;1ra.;2016
La creación de la Universidad Nacional de Moreno y su organización 2010-2013.;Andrade, Hugo O.;sin informacion;1;1ra.;2016
Régimen de sociedades  ;Zunino, Jorge Osvaldo;ley general 19550.;5;26ta.;2016
Ley de Sociedades  ;sin informacion;ley 19550 (t.o.1984) y sus modificaciones.;2;1ra.;2016
Elavoración y Evaluación de Proyectos de Inversión.;Semyraz, Daniel José;sin informacion;3;2da.;2014
Contabilidad conceptual y práctica para todos.;Varas, Víctor Alberto;sin informacion;4;4ta.;2012
Evaluación de proyectos de inversión.;Monteiro Martins, Alberto A;sin informacion;5;1ra.;2010
La contabilidad  ;Biondi, Mario;un sistema de informacion.;5;1ra.;2007
Normas contables para la actividad agropecuaria.;Torres, Carlos Federico;Análisis y aplicación de las siguientes normas: Resolución Técnica Nº22, NIC Nº41, NIIF para Pymes, Sección 34;10;3ra.;2013
Títulos de crédito  ;Escuti, Ignacio A.;letra de cambio, pagaré y cheque.;6;11ra.;2016
Análisis de estados financieros  ;Lamattina, Oscar Edmundo;un enfoque integral.;4;2da.;2014
Resoluciones técnicas vigentes.;sin informacion;sin informacion;5;1ra.;2016
101 preguntas inteligentes para formular en su entrevista de trabajo.;Fry, Ron;sin informacion;2;1ra.;2009
La gestión de los Recursos Humanos  ;Dolan, Simón L;cómo atraer, retener y desarrollar con éxitoel capital humano en tiempos de transformación.;2;3ra.;2007
Metodología de la investigación.;Hernández Sampieri, Roberto;sin informacion;1;6ta.;2014
La organización requerida  ;Jaques, Elliott;un sistema integrado para crear organizaciones eficaces y aplicar el liderazgo gerencial en el siglo XXI.;2;2da.;2004
Normas Profesionales Argentinas Contables, de Auditoría y Sindicatura.;sin informacion;sin informacion;1;8va.;2014
Contribuciones para una formación heterodoxa en economía I  ;Robba, Alejandro L;reflexiones sobre la realidad argentina.;1;1ra.;2016
Procedimiento Fiscal y Administrativo.;sin informacion;sin informacion;2;1ra.;2016
Desarrollo y acreditación de los posgrados en Argentina, Brasil y México  ;Marquis, Carlos;textos para una mirada comparativa.;1;1ra.;1998
Post blanqueo  ;Patane, Pablo Octavio;consecuencias tributarias.;1;1ra.;2017
Altos Hornos Zapla  ;Bergesio, Liliana;historias en torno al primer centro siderúrgico integral de Argentina.;1;1ra.;2016
Manual de contabilidad avanzada.;Torres, Carlos Federico;sin informacion;1;1ra.;2014
Agrupamiento de empresas  ;Torres, Carlos Federico;aspectos contables.;1;1ra.;2010
La prescripción liberatoria en materia de tributos locales a partir del Código Civil y Comercial de la Nación.;Caranta, Martín R.;sin informacion;1;1ra.;2016
Ejecución fiscal  ;Snopek, María Mónica;formalidades y requisitos.;1;1ra.;2016
Sistema de control interno municipal SICIM.;Fernández, Oscar Alberto;sin informacion;15;1ra.;2012
Responsabilidad social  ;Arias Valle, María Belén;cómo contribuir activamente al desarrollo de inclusión social.;1;1ra.;2013
Los riesgos psicosociales en el trabajo  ;Neffa, Julio César;contribución a su estudio.;1;1ra.;2016
Observatorio PYME regional Conourbano Bonaerense  ;Donato, Vicente N;industria manufacturera año 2007.;1;1ra.;2008
Balance preliminar de las economías de América Latina y el Caribe 2005.;sin informacion;sin informacion;1;1ra.;2005
Balance preliminar de las economías de América Latina y el Caribe 2008.;sin informacion;sin informacion;1;1ra.;2008
Balance preliminar de las economías de América Latina y el Caribe 2009.;sin informacion;sin informacion;1;1ra.;2009
Panorama de la inserción internacional de América Latina y el Caribe 2008-2009.;sin informacion;sin informacion;1;1ra.;2009
Panorama de la inserción internacional de América Latina y el Caribe 2005-2006.;sin informacion;sin informacion;1;1ra.;2006
La mirada compleja en Contabilidad y los Programas de Inclusión Social en la Argentina.;Rodriguez De Ramirez, María Del Carmen;sin informacion;1;1ra.;2011
Bases teóricas para la medición del patrimonio corporativo en moneda corriente recuperable.;Biondi, Mario;sin informacion;1;1ra.;2011
Informe 2009-2010  ;Donato, Vicente N.;evolución reciente, situación actual y desafios para 2011.;1;1ra.;2010
Informe 2010-2011  ;Donato, Vicente N.;evolución reciente, situación actual y desafios para 2012.;1;1ra.;2011
Informe 2011-2012  ;Donato, Vicente N.;evolución reciente, situación actual y desafios para 2013.;2;1ra.;2012
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;contabilidad.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;auditoria.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;tributaria.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;laboral y seguridad social.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;administración.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;economía y comercio exterior.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;sector público.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;actuación judicial, societario y de gestión de conflictos.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;responsabilidad social y balance social.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;educación y política profesional.;1;1ra.;2016
Veintiun Congreso Nacional de Profesionales en Ciencias Económicas  ;sin informacion;organizaciones sociales ...;1;1ra.;2016
Recursos humanos.;Delgado González, Susana;sin informacion;2;4ta.;2011
Fundamentos de Dirección y Gestión de Recursps Humanos.;Aragón Sánchez, Antonio;sin informacion;2;1ra.;2005
Estadística aplicada a los negocios y la economía.;Lind, Douglas A.;sin informacion;5;16ta.;2008
Estadística no paramétrica  ;Fernandez Loureiro De Pérez, Emma;a modo de introducción.;3;2da.;2011
Administracions de operaciones  ;Chase, Richard B.;producción y cadena de suministros.;3;13ra.;2014
La contabilidad de gestión  ;Ostengo, Héctor Carlos;"en un enfoque de Control de Gestión y Evaluación del Desempe;o ...";1;1ra.;2014
Derecho ambiental  ;Cafferatta, Néstor A;dimensión social.;1;1ra.;2015
Manual de sociedades.;Vitolo, Daniel Roque;sin informacion;4;2da. ;2017
Regimen de sociedades  ;Zunino, Jorge Osvaldo;Ley general 19550.;4;27a ;2017
Leyes laborales y previsionales  ;Parada, Ricardo Antonio;compendio de legislación 2017.;5;sin informacion;2017
Teoria contable  ;Pahlen Acuña, Ricardo J.M.;Casos integrales comentados.;5;sin informacion;2017
Manual de derecho laboral.;Grisolia, Julio Armando;sin informacion;5;8a. ;2017
Derecho civil  ;Borda, Guillermo A;Parte general.;5;1a.;2017
derecho civil y comercial  ;Borda, Alejandro;Obligaciones.;5;1a.;2017
Auditoria  ;Lattuca, Antonio Juan;Conceptos y metodos.;3;4a ;2017
Constitucion de la provincia de Jujuy.;sin informacion;sin informacion;5;sin informacion;2012
