autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Cramer, Harald";"Métodos matemáticos de estadística.";;1;1ra.ed.;1960.;5825
"Mcfarlane Mood, Alexander";"Introducción a la teoría de la estadística.";;1;1ra.ed.;1960.;5826
"Houel, J.";"Tablas de logaritmos a cinco decimales.";;1;1ra.ed.;1964.;5827
"Lavolpe, Antonio";"Presupuestos y gestión.";;8;2da.ed.;2010.;5828
"De La Cueva, Mario";"Derecho colectivo laboral : ";"asociaciones profesionales y convenios colectivos.";3;1ra.ed.;1973.;5829
"Napoli, Rodolfo A";"Desarrollo, integración y derecho del trabajo : ";"estudio esquemático para América Latina.";3;1ra.ed.;1972.;5830
"Althaus, Alfredo A";"Tratado de derecho cooperativo.";;4;1ra.ed.;1974.;5831
"Zaldivar, Enrique";"Cuadernos de derecho societario : ";"sociedades por acciones, sociedades anónimas y en comandita por acciones (Segunda Parte)";2;1ra.ed.;1973.;5832
"Hacker, Louis M.";"The triumph of American Capitalism.";;1;1ra.ed.;1965.;5833
"Mc Michael, Stanley";"Tratado de tasación : ";"la técnica de estimar comercial y legalmente el valor de inmuebles y otros bienes.";1;1ra.ed.;1949.;5834
"Arias, José";Sucesiones.;;1;1ra.ed.;1942.;5835
"Rabinovich, Marcos";"Demandas por repetición del impuesto a los reditos.";;1;1ra.ed.;1950.;5836
"Dumas, Raymond";"La empresa y la estadística : ";"Tomo I.";2;1ra.ed.;1963.;5837
"Dumas, Raymond";"La empresa y la estadística : ";"Tomo II.";2;mra.ed.;1963.;5838
"Donzallaz, Paul";"La estadística comercial.";;1;1ra.ed.;1959.;5839
"Vessereau, André";"La estadística.";;3;1ra.ed.;1963.;5840
"Cyert, Richard M.";"El muestreo estadístico aplicado a la censura de cuentas.";;1;1ra.ed.;1965.;5841
"Trucco, Sixto E.";"Análisis estadístico aplicado a los trabajos de investigación en Agricultura y Biología.";;1;1ra.ed.;1959.;5842
"Chevry, Gabriel R.";"Practica de las encuestas estadísticas.";;1;1ra.ed.;1967.;5843
"Davies, Owen L.";"Métodos estadísticos aplicados a la investigación y a la producción.";;1;1ra.ed.;1960.;5844
;"Estimaciones y proyecciones de población : ";"total del país 2010-2040.";1;1ra.ed.;2014.;5845
"Bancroft, Huldah";"Introducción a la bioestadística.";;1;1ra.ed.;1961.;5846
"Pepe, Paul";"Presentación de estadisticas.";;1;1ra.ed.;1965;5847
"Pandurang V. Sukhatme";"Teoria de encuestas por muestreo de aplicaciones.";;1;1ra.ed.;1950.;5848
"Udny Yule, George";"Introducción a la estadística matemática.";;2;1ra.ed.;1967.;5849
"Pino Quintana, Ernesto";"Estadistica comercial.";;1;2da.ed.;1946.;5850
"Fisher, Ronald";"Tablas estadísticas para investigadores científicos, económicos demógrafos y ...";;1;1ra.ed.;1949.;5851
"Fourcade, Pedro D";"Manual alfabético del impuesto a los réditos.";;2;1ra.ed.;1945.;5852
"Seoane, Joaquín Raúl";"Compulsas y peritajes.";;3;1ra.ed.;1943.;5853
"Cholvis, Francisco";"La función técnica del síndico en la ley 11719.";;3;1ra.ed.;1943.;5854
;"Manual de administración básica de cooperativas.";;1;1ra.ed.;1972.;5855
"Zimmer, Hermann";"A fraudulent testament devalues the Bahia Religion into POlitical Shoghism.";;1;1ra.ed.;1973.;5856
"Jarach, Dino";"Curso superior de derecho tributario.";;1;1ra.ed.;1957.;5857
"Jarach, Dino";"Curso superior de derecho tributario.";;1;1ra.ed.;1957.;5858
"Schiffer, Miguel";"Sociedades en comandita por acciones.";;1;1ra.ed.;1967.;5859
"Benson, Oliver";"El laboratorio de ciencia política.";;1;1ra.ed.;1974.;5860
"Dreier, John C.";"La organización de los estados americanos.";;1;1ra.ed.;1962.;5861
"Chidsey, Donald Barr";"La independencia norteamericana.";;1;1ra.ed.;1958.;5862
"Levy, Leonard W.";"La política.";;1;1ra.ed.;1964.;5863
"Migliardi, Francisco N.M.O.";"Títulos de credito.";;1;1ra.ed.;1969.;5864
"Romero, Cesar Enrique";"Introducción al derecho constitucional.";;4;1ra.ed.;1973.;5865
"Oderigo, Mario N";"Sinopsis de derecho romano.";;1;1ra.ed.;1957.;5866
;"Código de comercio de la República Argentina y sus leyes y decretos complementarios.";;1;1ra.ed.;1960.;5867
"Vázquez Vialard, Antonio";"Derecho del trabajo y seguridad social.";;5;1ra.ed.;1979.;5868
"Lynn, Kenneth S.";"La sociedad.";;1;1ra.ed.;1963.;5869
"Carames Ferro, José M";"Curso de derecho romano : ";"instituciones de derecho privado.";1;7ma.ed.;1958.;5870
"Mills, C. Wright";"Las clases medias en norteamérica.";;1;1ra.ed.;1957.;5871
"May, Ernest R.";"Las relaciones internacionales.";;1;1ra.ed.;1963.;5872
"Carrillo, Pedro";"Protección legal del trabajo.";;1;1ra.ed.;1946.;5873
"Salvadori, Massimo";"Democracia liberal : ";"una respuesta liberal a los enemigos de la libertad.";1;1ra.ed.;s.f..;5874
"Douglas, William O.";"Una ley de derechos vivientes.";;1;1ra.ed.;1961.;5875
"Herrera, Felipe";"Discursos pronunciados por el presidente del Banco Interamericano de Desarrollo.";;1;1ra.ed.;1962.;5876
"Hernandez, Antonio María";"Anteproyecto de ley orgánica municipal para la provincia de Córdoba.";;1;1ra.ed.;1977.;5877
"Porzecanski, Arturo C.";"Política fiscal en América Latina.";;1;1ra.ed.;1977.;5878
;"Selección de monografías y conferencias pronunciadas en la Reunión del Centro Interamericano de Administradores Tributarios de Panamá.";;1;1ra.ed.;1967.;5879
"Sampay, Arturo Enrique";"Constitución y pueblo.";;1;2da.ed.;1974.;5880
"Otaegui, Julio C";"Fusión y escisión de sociedades comerciales.";;2;1ra.ed.;1976.;5881
;"La ley nacional de expropiaciones N§21499.";;7;1ra.ed.;1977.;5882
"Panse, Vinayak G";"Métodos estadísticos para investigadores agrícolas.";;5;"1ra. ed.";1959.;5883
"Botbol, José";"Ejercicios prácticos de matemática finciera (100 ejercicios)";;2;"1ra. ed.";1967.;5884
"Rizzi, Jorge A.";"Introducción a la estadística.";;1;"1ra. ed.";1970.;5885
"Mentha, Gerald";"Los test estadísticos aplicados a la empresa.";;1;"1ra. ed.";1967.;5886
"Kohan de Cortada, Nuria";"Estadística aplicada.";;1;"1ra. ed.";1970.;5887
"Kemeny, John G";"Estructuras matemáticas finitas.";;1;"1ra. ed.";1959.;5888
"Fernandez, Manuel Salvador";"Matemáticas impositivas.";;1;"1ra. ed.";1965.;5889
"Jordan, Pascual";"La física dek siglo XX.";;1;"1ra. ed.";1950.;5890
"Kammeryer, Karl";"Cálculo de procesos.";;1;"1ra. ed.";1966.;5891
"Kelley, John L.";"Topología general.";;1;"1ra. ed.";1962.;5892
"Gonzalez Gale, José";"Matemátcias financieras (primera parte) : ";"Intereses y anualidades ciertas.";1;6ta.ed.;1956.;5893
"Battersby, Albert";"Matemáticas para la empresa.";;2;"1ra. ed.";1966.;5894
"Specthrie, Samuel Waldo";"Matemáticas del contador.";;1;"1ra. ed.";1955.;5895
"Pressat, Roland";"El análisis demográfico : ";"Métodos, resultados, aplicaciones.";10;"1ra. ed.";1961.;5896
;"Impuestos Nacionales N§13.";;1;1ra.ed.;1980.;5897
;"Impuestos Nacionales Nº13.";;1;1ra.ed.;1980.;5898
"Ruprecht, Alfredo J";"Lecciones de derecho del trabajo y de la seguridad social : ";apéndice.;1;2da.ed.;1978.;5899
"Ruprecht, Alfredo J";"Lecciones de derecho del trabajo y de la seguridad social.";;1;2da.ed.;1975.;5900
"Reuther, Walter P.";"Ideario de un sindicalista.";;1;1ra.ed.;1964.;5901
"Johnson, Lyndon B.";"La hora de la acción.";;1;1ra.ed.;1964.;5902
"Mejalelaty, Elias";"Leyes impositivas.";;1;1ra.ed.;1963.;5903
"Luparia, Carlos Horacio";"El grito de la tierra : ";"reforma agraria y sindicalismo.";1;1ra.ed.;1973.;5904
;"Código civil.";;1;1ra.ed.;1954.;5905
"Corwin, Edward S.";"Libertad y gobierno : ";"el origen, florecimiento y declinación de un famoso concepto jurídico.";1;1ra.ed.;1958.;5906
"Konvitz, Milton R";"La libertad : ";"en la declaración de derechos en los Estados Unidos.";1;1ra.ed.;1959.;5907
"Goldschmidt, Werner";"Introducción filosófoca al derecho : ";"la teoría trialista del mundo jurídico y sus horizontes.";3;5ta.ed.;1976.;5908
"Danielian, Miguel";"Personas jurídicas : ";"legislación nacional ordenada y actualizada.";1;1ra.ed.;1973.;5909
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1968.;5910
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1964.;5911
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1966.;5912
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1967.;5913
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1968.;5914
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1968.;5915
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1968.;5916
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1971.;5917
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1971.;5918
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1974.;5919
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1974.;5920
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1971.;5921
"Castro, Juan Pedro";"Primera colección de fallos del tribunal fiscal de la nación.";;1;1ra.ed.;1971.;5922
"Hall, Marshall Jr ";"Teoria de los grupos.";;1;"1ra. ed.";1969.;5923
"Spiegel, Murray R";"Ecuaciones diferenciales aplicadas.";;1;"1ra. ed.";1965.;5924
"Picasso, Osvaldo J. A.";"Curso preuniversitario de matemática.";;5;"1ra. ed.";1969.;5925
"Suppes, Patrick";"Teoria axiomática de conjuntos.";;1;"1ra. ed.";1968.;5926
"Huang, David";"Introducción al uso de la matemática en el análisis económico.";;2;"1ra. ed.";1970.;5927
"Hall, H. S";"Algebra superior.";;4;"1ra. ed.";1969.;5928
"Ayres, Frank";"Teoria y problemas de fundamentos de matemáticas superiores.";;3;"1ra. ed.";1969.;5929
"Scheid, Francis";"Análisis numérico.";;1;"1ra. ed.";1972.;5930
"Rich, Barnett";"Geometría plana con coordenadas.";;1;"1ra. ed.";1969.;5931
"Spiegel, Murray R.";"Cálculo superior.";;2;"1ra. ed.";1969.;5932
"Ayres, Frank";"Teoria y problemas de algebra moderna.";;1;"1ra. ed.";1969.;5933
"Hawk, Minor Clyde";"Teoría y problemas de geometría descriptiva.";;1;"1ra. ed.";1970.;5934
"Rich, Barnett";"Teoria y problemas de algebra elemental.";;1;"1ra. ed.";1969.;5935
"Springer, Clifford";"Matemáticas básicas.";;1;"1ra. ed.";1972.;5936
"Mason, Robert D.";"Estadística comercial y económica.";;13;"1ra. ed.";1973.;5937
"Koosis, Donald J";"Introducción a la inferencia estadística para administración y economía.";;1;"1ra. ed.";1974.;5938
"Koosis, Donald J";"Elementos de inferencia estadística.";;1;"1ra. ed.";1974.;5939
"Varsavsky, Oscar";"Algebra para escuelas secundarias : ";"Tomo I. matemática intuitiva.";1;"1ra. ed.";1964.;5940
"Varsavsky, Oscar";"Algebra para escuelas secundarias : ";"Tomo 2. Matemática deductiva.";1;"1ra. ed.";1969.;5941
"Simon, Leonard S";"Analytical marketing.";;1;"1ra. ed.";1970.;5942
"Slonim, Morris James";"Muestreo : ";"Guia agil y precisa de estadística práctica.";1;"1ra. ed.";1967.;5943
"Buchhold, Wolf";"Algebra booleana : ";"Instrucción programada.";1;"1ra. ed.";1966.;5944
"Spiegel, Murray R";"Manual de formulas y tablas matemáticas.";;2;"1ra. ed.";1970.;5945
"Bers, Lipman";"Cálculo diferencial e integral : ";"Volumen 1.";1;"1ra. ed.";1972.;5946
"Trejo, Cesar A.";"Ciclo medio de matemática moderna : ";"Primer curso.";1;"3ra. ed.";1970.;5947
"Trejo, Cesar A.";"Ciclo medio de matemática moderna : ";"Segundo curso.";1;"2da. ed.";1969.;5948
"Trejo, Cesar A.";"Ciclo medio de matemática moderna : ";"Tercer curso.";1;"3ra. ed.";1969.;5949
"Vance, Elbridge P.";"Introducción a la matemática moderna.";;1;"1ra. ed.";1968.;5950
"Morrey, Charles";"Análisis matemático.";;1;"1ra. ed.";1969.;5951
"Vance, Elbridge P.";"Algebra superior moderna.";;1;"3ra. ed.";1962.;5952
"Rhodes, E. C.";"Estadistica elemental.";;1;"1ra. ed.";1950.;5953
"Lozano Cornejo, Antonio";"Confiabilidad : ";"Teoria y práctica.";1;"1ra. ed.";1969.;5954
"Walker, Helen M.";"Elementary Statistical methods.";;1;"1ra. ed.";1958.;5955
"Moosteller, Frederick";"Probability : ";"First Course.";1;"1ra. ed.";1961.;5956
"Schlaifer, Robert";"Probability and statitics for business decisions.";;1;"1ra. ed.";1959.;5957
;"Fuentes y métodos de la estadística económica argentina : ";"Tomo I.";2;"1ra. ed.";1962.;5958
"Boustedt, Olaf";"Metodología de la investigación regional : ";"Tomo I.";2;"1ra. ed.";s.d..;5959
"Arrufat, Ernesto Miracle";"Algo sobre estadística : ";"Estudio critico de conjunto.";1;"1ra. ed.";1913.;5960
"Freund, John E.";"College mathematics with business applications.";;1;"1ra. ed.";1969.;5961
"Hansen, Morris H.";"Sample survey methods and Theory : ";"Volumen I. Methods and aplplications.";1;"1ra. ed.";1953.;5962
"Hansen, Morris H.";"Sample survey methods and Theory : ";"Volumen II. Theory.";1;"1ra. ed.";1953.;5963
"Cochran, William G.";"Sampling Techniques.";;1;"3ra. ed.";1977.;5964
"Becker, Carl L.";"La democracia moderna.";;1;1ra.ed.;1964.;5965
"Escuti, Ignacio A";"Receso, exclusión y muerte del socio.";;1;1ra.ed.;1978.;5966
"Kaldor, Nicholas";"Impuesto al gasto.";;2;1ra.ed.;1963.;5967
"Halperin, Isaac";"Sociedades anónimas : ";"exámen crítico del decreto ley 19550.";2;2da.ed.;1978.;5968
"Williams, Jorge N.";"La causa en los títulos de crédito : ";"acción causal y acción cambiaria.";1;2da.ed.;1976.;5969
"San Millán, Carlos";"Aspectos jurídicos y contables de las normas de la inspección general de justicia.";;2;1ra.ed.;1981.;5970
"Abad, Antolin";"Legislación del trabajo y de la seguridad social.";;1;1ra.ed.;1981.;5971
"Zaldivar, Enrique";"Cuadernos de derecho societario : ";"sociedades anonimas en comandita por acciones.";1;2da.ed.;1980.;5972
"Zaldivar, Enrique";"Cuadernos de derecho societario : ";"aspectos particulares en la evolución de las sociedades.";1;1ra.ed.;1980.;5973
;"Derecho fiscal.";;1;1ra.ed.;1963.;5974
;"Derecho fiscal.";;1;1ra.ed.;1960.;5975
;"Derecho fiscal.";;1;1ra.ed.;1962.;5976
;"Derecho fiscal.";;1;1ra.ed.;1963.;5977
;"Derecho fiscal.";;1;1ra.ed.;1959.;5978
;"Derecho fiscal.";;1;1ra.ed.;1963.;5979
;"Derecho fiscal.";;1;1ra.ed.;1961.;5980
;"Derecho fiscal.";;1;1ra.ed.;1962.;5981
;"Derecho fiscal.";;1;1ra.ed.;1963.;5982
;"Derecho fiscal.";;1;1ra.ed.;1963.;5983
;"Derecho fiscal.";;1;1ra.ed.;1963.;5984
;"Derecho fiscal.";;1;1ra.ed.;1963.;5985
;"Derecho fiscal.";;1;1ra.ed.;1963.;5986
;"Derecho fiscal.";;1;1ra.ed.;1963.;5987
;"Derecho fiscal.";;1;1ra.ed.;1963.;5988
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1967.;5989
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1967.;5990
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5991
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5992
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5993
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5994
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1969.;5995
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1967.;5996
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5997
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5998
"Spota, Alberto G";"Tratado de derecho civil : ";"parte general.";3;1ra.ed.;1968.;5999
;"Derecho fiscal.";;1;1ra.ed.;1967.;6000
;"Derecho fiscal.";;1;1ra.ed.;1967.;6001
;"Derecho fiscal.";;1;1ra.ed.;1968.;6002
;"Derecho fiscal.";;1;1ra.ed.;1969.;6003
;"Derecho fiscal.";;1;1ra.ed.;1970.;6004
;"Derecho fiscal.";;1;1ra.ed.;1971.;6005
;"Derecho fiscal.";;1;1ra.ed.;1972.;6006
;"Derecho fiscal.";;1;1ra.ed.;1973.;6007
;"Derecho fiscal.";;1;1ra.ed.;1974.;6008
;"Derecho fiscal.";;1;1ra.ed.;1975.;6009
;"Derecho fiscal.";;1;1ra.ed.;1976.;6010
;"Derecho fiscal.";;1;1ra.ed.;1977.;6011
;"Derecho fiscal.";;1;1ra.ed.;1978.;6012
;"Derecho fiscal.";;1;1ra.ed.;1979.;6013
;"Derecho fiscal.";;1;1ra.ed.;s.f..;6014
;"Derecho fiscal.";;1;1ra.ed.;1968.;6015
;"Derecho fiscal.";;1;1ra.ed.;1969.;6016
;"Derecho fiscal.";;1;1ra.ed.;1970.;6017
;"Derecho fiscal.";;1;1ra.ed.;1971.;6018
;"Derecho fiscal.";;1;1ra.ed.;1972.;6019
;"Derecho fiscal.";;1;1ra.ed.;1973.;6020
;"Derecho fiscal.";;1;1ra.ed.;1974.;6021
;"Derecho fiscal.";;1;1ra.ed.;1975.;6022
;"Derecho fiscal.";;1;1ra.ed.;1976.;6023
;"Derecho fiscal.";;1;1ra.ed.;1977.;6024
;"Derecho fiscal.";;1;1ra.ed.;1978.;6025
;"Derecho fiscal.";;1;1ra.ed.;1979.;6026
;"Derecho fiscal.";;1;1ra.ed.;1980.;6027
;"Derecho fiscal.";;1;1ra.ed.;1981.;6028
;"Legislación del trabajo.";;1;1ra.ed.;1972.;6029
;"Legislación del trabajo.";;1;1ra.ed.;1973.;6030
;"Legislación del trabajo.";;1;1ra.ed.;1974.;6031
;"Legislación del trabajo.";;1;1ra.ed.;1975.;6032
;"Legislación del trabajo.";;1;1ra.ed.;1975.;6033
;"Legislación del trabajo.";;1;1ra.ed.;1976.;6034
;"Legislación del trabajo.";;1;1ra.ed.;1977.;6035
;"Legislación del trabajo.";;1;1ra.ed.;1978.;6036
;"Legislación del trabajo.";;1;1ra.ed.;1979.;6037
;"Legislación del trabajo.";;1;1ra.ed.;1980.;6038
;"Legislación del trabajo.";;1;1ra.ed.;1981.;6039
;"Legislación del trabajo.";;1;1ra.ed.;1972.;6040
;"Legislación del trabajo.";;1;1ra.ed.;1973.;6041
;"Legislación del trabajo.";;1;1ra.ed.;1974.;6042
;"Legislación del trabajo.";;1;1ra.ed.;1975.;6043
;"Legislación del trabajo.";;1;1ra.ed.;1976.;6044
;"Legislación del trabajo.";;1;1ra.ed.;1976.;6045
;"Legislación del trabajo.";;1;1ra.ed.;1977.;6046
;"Legislación del trabajo.";;1;1ra.ed.;1978.;6047
;"Legislación del trabajo.";;1;1ra.ed.;1979.;6048
;"Legislación del trabajo.";;1;1ra.ed.;1980.;6049
;"Legislación del trabajo.";;1;1ra.ed.;1981.;6050
;"Derecho fiscal.";;4;1ra.ed.;1981.;6051
;"Derecho fiscal.";;3;1ra.ed.;1982.;6052
;"Derecho fiscal.";;3;1ra.ed.;1982.;6053
;"Derecho fiscal.";;3;1ra.ed.;1983.;6054
;"Derecho del trabajo.";;1;1ra.ed.;1984.;6055
;"Derecho del trabajo.";;1;1ra.ed.;1985.;6056
;"Derecho del trabajo : ";"repertorio general 1978-1982.";1;1ra.ed.;1983.;6057
"Ruprecht, Alfredo J.";"El desempleo y la seguridad social.";;1;1ra.ed.;1974.;6058
"Reig, Enrique Jorge";"Impuesto a los réditos.";;1;3ra.ed.;1968.;6059
"Petersen, Elmore";"Organización y dirección de empresas.";;1;1ra.ed.;1961.;6060
"De Lerner, Georges";"Tratado de organización de empresas.";;1;1ra.ed.;1959.;6061
"De Lerner, Georges";"Tratado de organización de empresas.";;2;3ra.ed.;1961.;6062
"De Lerner, Georges";"Tratado de organización de empresas.";;1;4ta.ed.;1971.;6063
"Thomson, James D";"Teoria de la organización.";;1;1ra.ed.;1966.;6064
"Lee, Douglas H.K.";"El clima y el desarrollo económico en los tropicos.";;1;1ra.ed.;1968.;6065
"Bonaparte, Luis F.";"Organización contable de empresas : ";fórmulas-pericias-contratos.;4;1ra.ed.;1965.;6066
"Dale, Ernest";"Como planear y establecer la organización de la empresa.";;1;1ra.ed.;1960.;6067
"Terry, George R";"Administración y control de oficinas : ";"las acciones de la dirección administrativa.";1;1ra.ed.;1966.;6068
"Alford, L.P.";"Manual de la producción.";;1;1ra.ed.;1965.;6069
"Edwards, Ronald S.";"El desarrollo de la empresa : ";"creación y organización.";1;1ra.ed.;1966.;6070
"Stilian, Gabriel N.";"PERT : ";"un nuevo instrumento de planificación y control.";1;4ta.ed.;1968.;6071
"Pietragalla, Candido O";"Introducción a la dirección de empresas.";;2;1ra.ed.;1966.;6072
"Strauss, George";"Los problemas humanos de la dirección.";;1;1ra.ed.;1967.;6073
"Holden, Paul";"Dirección de empresas : ";"prácticas de organización y control.";1;2da.ed.;1961.;6074
"Riccardi, Ricardo";"Principios de dirección.";;1;1ra.ed.;s.f..;6075
"Kleinebeckel, H.";"Análisis y planificación de la pequeña y mediana empresa.";;1;1ra.ed.;1967.;6076
"Brown, Stanley M.";"Manual del director de empresa.";;1;1ra.ed.;1959.;6077
"Harbison, Frederick H.";"La dirección de empresa en el mundo industrial.";;1;1ra.ed.;1962.;6078
"Koontz, Harold";"Principios de dirección de empresa : ";"un análisis de las funciones directivas.";1;2da.ed.;1961.;6079
"Planty, Earl G.";"Direccion de empresas : ";"desarrollo de la aptitud de mando.";1;3ra.ed.;1965.;6080
;"Principios de dirección de empresas.";;1;1ra.ed.;1967.;6081
"Riccardi, Ricardo";"Controles elementales de dirección.";;1;1ra.ed.;1967.;6082
"Perier, A.";"El entretenimiento preventivo.";;1;1ra.ed.;1966.;6083
"Arjona Ciria, Antonio";"Principios de control de la producción.";;1;1ra.ed.;1967.;6084
"Arjona Ciria, Antonio";"Aplicaciones del control de producción.";;1;1ra.ed.;1967.;6085
"Chuen Tao, Luis Yu";"El control de calidad en la empresa.";;1;1ra.ed.;1968.;6086
"Simeray, J.P.";"Principios y aplicaciones del control de gestión.";;1;1ra.ed.;1967.;6087
"Depallens, Georges";"Financiación de empresas : ";principios.;1;1ra.ed.;1967.;6088
"Rodríguez Sahagun, Tomas";"La direccion de personal.";;1;1ra.ed.;1968.;6089
"Littmann, Hans Eduardo";"El tratamiento automático de la información.";;1;1ra.ed.;1967.;6090
"Jauregui Alonso, Julio De";"El plan financiero en los proyectos de modernización industrial.";;1;1ra.ed.;1967.;6091
"Perel, Vicente Leopoldo";"Organizacion y control de empresas.";;2;1ra.ed.;1964.;6092
"Raffo, Jorge A";"La creación de una empresa.";;1;1ra.ed.;s.f..;6093
"Defosse, Gaston";"La gestion financiera de las empresas.";;1;1ra.ed.;1962.;6094
"Lauzel, Pierre";"El control de gestión : ";"la contabilidad analítica y marginal.";1;1ra.ed.;1968.;6095
"Gross, Alfred";"Promoción de ventas.";;1;3ra.ed.;1962.;6096
"Mascia, Alfredo A.";"Economía y organización de empresas.";;1;1ra.ed.;s.f..;6097
"Mascia, Alfredo A.";"Economía y organización de empresas.";;1;1ra.ed.;s.f..;6098
"Guion, Robert M.";"Test para selección de personal.";;1;1ra.ed.;1969.;6099
"Tagliacarne, Guglielmo";"Técnica y práctica de las investigaciones de mercado.";;1;2da.ed.;1962.;6100
"Del Valle, Cecilio";"Organización administrativa y contable de explotaciones ganaderas y agrícolas.";;1;1ra.ed.;1968.;6101
"Pascale, Ricardo";"Decisiones financieras.";;2;6ta.ed.;2009.;6102
"Besley, Scott";"Fundamentos de administración financiera.";;2;14ta.ed.;2011.;6103
"Sierra Bravo, R";"Técnicas de investigación social : ";"teoría y ejercicios.";3;14ta.ed.;2007.;6104
"Debeljuh, Patricia";"Etica empresarial en el núcleo de la estrategia corporativa.";;2;1ra.ed.;2009.;6105
"Gotlib, Gabriel";"Procedimiento tributario : ";"teoría y práctica para el contribuyente.";2;1ra.ed.;2012.;6106
"Llapur, Said Jorge";"Ley de procedimientos administrativos de la provincia de Jujuy : ";"N§1886y modificatorias anotada y comentada.";3;3ra.ed.;2011.;6107
"Covelli, José Luis";"Patología laboral : ";"el trabajo, su necesidad, la adaptación y sus consecuencias.";2;1ra.ed.;2011.;6108
"Barcia, Patricia";"Violencia laboral : ";"gotas de lo posible.";2;1ra.ed.;2011.;6109
"Casparri, María Teresa";"Administración financiera utilizando Excel.";;1;1ra.ed.;2012.;6110
"Graham, John R.";"Finanzas corporativas : ";"el vínculo entre la teoría y lo que las empresas hacen.";1;3ra.ed.;2011.;6111
"Mejias, Cristina";"El sillón vacío : ";"selección y outplacement de talentos en el siglo XXI.";3;1ra.ed.;2010.;6112
"Alles, Martha Alicia";"Las 50 herramientas de recursos humanos que todo profesional debe conocer.";;2;1ra.ed.;2012.;6113
"Aquino, Jorge A.";"Recursos humanos.";;1;4ta.ed.;2010.;6114
"Motterlini, Matteo";"Economía emocional : ";"en que nos gastamos el dinero y por qué.";1;1ra.ed.;2008.;6115
"Porret Gelabert, Miquel";"Gestión de personas : ";"manual para la gestión del capital humano en las organizaciones.";2;4ta.ed.;2010.;6116
"Pérez Van Morlegan, Luis";"El comportamiento de las personas en las organizaciones.";;1;1ra.ed.;2011.;6117
"Williams, Richard S";"Rendimiento del personal : ";"diseño, implantación y gestión.";1;1ra.ed.;2008.;6118
"Silva González, María Del Mar";"Las relaciones humanas en la empresa.";;1;1ra.ed.;2008.;6119
"Diaz Zazo, Pilar";"Prevención de riesgos laborales : ";"seguridad y salud laboral.";1;1ra.ed.;2011.;6120
"Gaito, Horacio";"Herramientas de gestión del capital humano con Office : ";"herramientas informáticas para la Pequeña y Mediana Empresa.";1;1ra.ed.;2004.;6121
"Gómez-Mejia, Luis R";"Gestión de recursos humanos.";;1;5ta.ed.;2008.;6122
"Knop, Roberto";"Manual de instrumentos derivados : ";"cuatro décadas de Black-Scholes.";2;2da.ed.;2009.;6123
"Ramirez, Eduardo";"Invertir, gastar o ahorrar.";;1;1ra.ed.;2008.;6124
"Bacchini, Roberto D.";"Evaluación de inversiones con opciones reales utilizando EXCEL.";;5;1ra.ed.;2008.;6125
"Tapia, Gustavo";"Valuación de empresas : ";"un enfoque práctico y dinámico.";1;1ra.ed.;2012.;6126
"Titman, Sheridan";"Valoración : ";"el arte y la ciencia de las decisiones de inversión corporativa.";1;1ra.ed.;2009.;6127
"Hull, John C.";"Introducción a los mercados de futuros y opciones.";;1;6ta.ed.;2009.;6128
"Berk, Jonathan";"Fundamentos de finanzas corporativas.";;2;1ra.ed.;2010.;6129
"Gitman, Lawrence J.";"Fundamentos de inversiones.";;1;10ma.ed.;2009.;6130
