autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Guido, Horacio J.M.";"Secuelas del unicato : ";1890-1896.;1;1ra.ed.;1977.;100
"Gunther, John";"Rusia por dentro, hoy.";;1;1ra.ed.;1958.;101
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;2;1ra.ed.;1962.;102
"Hermida, Jorge Alfredo";"Ciencia de la administración.";;20;1ra.ed.;1979.;103
"Ferrer, Aldo";"La economía de la Argentina : ";"las etapas del desarrollo y problemas actuales.";3;8va.ed.;1973.;104
"Herrscher, Enrique G";"Contabilidad gerencial : ";"la información empresaria para planeamiento, gestión y control.";5;1ra.ed.;1979.;105
"Hortel, Carlos E.";"Código Penal de la Nación Argentina : ";"texto ordenado.";1;1ra.ed.;1985.;106
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;1;2da.ed.;1970.;107
"Iñigo Carrera, Héctor J.";"La experiencia radical : ";1916-1922.;1;1ra.ed.;1980.;108
"Iñigo Carrera, Héctor J.";"La experiencia radical : ";1916-1922.;1;1ra.ed.;1980.;109
"Irazusta, Julio";"El tránsito del siglo XIX al XX : ";1896-1904.;1;1ra.ed.;1977.;110
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;3;3ra.ed.;1977.;111
"Kliksberg, Bernardo";"Universidad, formación de administradores y sector público.";;1;1ra.ed.;1983.;112
"Lagomarsino, Carlos A. R";"Divorcio por presentación conjunta : ";"artículo 67 bis, ley 2393.";1;1ra.ed.;1981.;113
"Giuliani Fonrouge, Carlos M";"Derecho financiero.";;2;1ra.ed.;1962.;114
"Lazzati, Santiago C.";"El dictamen del auditor : ";"Recopilación de normas profesionales.";1;1ra.ed.;1976.;115
"Lavia, Osvaldo N";"Generalización del IVA :";Ley;1;1ra.ed.;1980.;116
"Levy, Alberto R";"Multievaluación de proyectos de nuevos productos.";;1;3ra.ed.;1978.;117
"Lojeweski, Werner Von";"El mercado común europeo.";;1;1ra.ed.;1960.;118
"Lopez Rosas, José Rafael";"Entre la monarquía y la república : ";1815-1820.;1;1ra.ed.;1981.;119
"Lozada, Salvador María";"Empresas multinacionales.";;1;1ra.ed.;1973.;120
"Lizondo Borda, Manuel";"Guía ilustrativa de la casa histórica de la independencia argentina.";;1;1ra.ed.;1980.;121
"Maffia, Osvaldo J.";"Derecho sucesorio en la reforma del Código Civil.";;1;1ra.ed.;1972.;122
"Mancini, Luis G.";"Introducción filosófica a la economía.";;1;1ra.ed.;1955.;123
"Marin, Isidoro";"Manual básico de métodos de camino crítico.";;2;1ra.ed.;1977.;124
"Marin, Isidoro";"Manual básico de métodos de camino crítico.";;2;1ra.ed.;1977.;125
"Marin, Isidoro";"Programación lineal : ";"modelización y enunciados.";6;1ra.ed.;1980.;126
"Martiarena Mantel, Ana M";"Economía internacional monetaria : ";"Teoria de la balanza de pagos.";1;1ra.ed.;1978.;127
"Martinez, Pedro Santos";"La nueva Argentina : ";1946-1955.;11;1ra.ed.;1979.;128
"Mascheroni, Fernando H";"Sindicación de acciones.";;2;2da.ed.;1979.;129
"Mascheroni, Fernando H";"Nuevo régimen de control societario.";;1;1ra.ed.;1972.;130
"Mascheroni, Fernando H";"La asamblea en la sociedad anónima : ";"manual teórico práctico.";2;2da.ed.;1976.;131
"Mascheroni, Fernando H";"El directorio en la sociedad anónima.";;2;1ra.ed.;1978.;132
"Mascheroni, Fernando H";"Ley de sociedades comerciales : ";"ley 19550; texto actualizado.";1;1ra.ed.;1981.;133
"Mascheroni, Fernando H";"Vínculo accionista, sociedad anónima y el contrato de suscripción.";;2;1ra.ed.;1970.;134
"Megna, Pedro Pascual";"La gerencia de la sociedad anónima.";;2;1ra.ed.;1970.;135
"Mendez Costa, María J";"Capacidad para aceptar y repudiar herencias.";;1;2da.ed.;1978.;136
"Morgan, Edmundo";"El nacimiento de la república 1763-1789.";;1;1ra.ed.;1965.;137
"Munier, Nolberto Juan";"Preparación técnica, evaluación económica y presentación de proyectos.";;2;1ra.ed.;1979.;138
"Munier, Nolberto Juan";"Programación lineal.";;1;3ra.ed.;1979.;139
"Munier, Nolberto Juan";"Técnicas modernas para el planeamiento y control de la producción.";;2;1ra.ed.;1978.;140
"Odena, Isidro J.";"Libertadores y desarrollistas : ";"1955 1962.";1;1ra.ed.;1977.;141
"Okretic, Carlos L";"Estados contables consolidados.";;6;3ra.ed.;1976.;142
"Parra Aranguren, Fernando Ignacio";"Antecedentes del derecho del trabajo en Venezuela (1916-1928)";;1;1ra.ed.;1980.;143
"Paez De La Torre, Carlos";"El derrumbe de la confederación : ";1855-1862.;1;1ra.ed.;1977.;144
"Picoli, Ángel M.";"Elementos de contabilidad : ";"Tercer Curso.";1;4ta.ed.;1947.;145
"Picoli, Ángel M.";"Elementos de contabilidad : ";"Segundo Curso.";1;12da.ed.;1954.;146
"Pinedo, Federico";"Siglo y medio de la economía argentina.";;3;1ra.ed.;1961.;147
"Pizoni, Mario C.";"Necesidad de la conciliación obligatoria en el proceso civil.";;1;1ra.ed.;1969.;148
"Poclava Lafuente, Juan Carlos";"Legislación administrativa actualizada año 1970.";;2;1ra.ed.;1970.;149
"Prado, Pedro F";"Leyes y decretos de trabajo y previsión.";;1;2da.ed.;1949.;150
"Prado, Pedro F";"Leyes y decretos de trabajo y previsión.";;1;1ra.ed.;1948.;151
"Prat, Ana M.";"Justicia de paz nacional y provincial.";;1;1ra.ed.;1971.;152
"Avila, Jorge C.";"Propuestas para una Argentina creciente.";;1;1ra.ed.;1989.;153
