LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Ocon, María Mercedes	La estrella del sur.	1
White, Max	En la luz deslumbrante :	1
	Premio Municipalidad de Córdoba 1982 :	1
Chapman, Hester W.	Eugenia de Montijo.	1
Dorfman, Miguel	Argentina un país para invertir y crecer.	2
Dorfman, Miguel	Argentina en crecimiento :	6
	Sistema ISO 9000 de gestión de la calidad :	1
	Congreso Nacional de Profesionales en Ciencias Económicas.	1
	Jornadas Universitarias de Contabilidad.	1
Fabris, Ricardo	Ejemplos de aplicación de las RT 8 y 9 :	2
	Colección de sociedades comerciales :	1
	Colección de sociedades comerciales :	1
	Colección de sociedades comerciales :	1
	Colección de sociedades comerciales :	1
Pienovi, Aroldo Adolfo	Metodología operativa para el análisis y determinación de estructuras de la organización :	4
Amadasi, Enrique	Mapa de la pobreza en la Argentina.	6
Loring Allen, Robert	La guerra económica soviética.	1
Sánchez Masi, Luis	El mercado de capitales en el Paraguay.	1
Leiserson, Sansón	La moneda.	1
Labougle, Alfredo	La actual situación económica y financiera de la Nación Argentina.	1
Buchanan, Norman S.	Introduccion al desarrollo económico.	1
Sutch, W.B.	Recent economic changes in New Zealand.	1
Bowles, Chester	Hacia una sociedad justa.	1
Villalobos Domínguez, C.	Bases y método para la aprobación social de la tierra.	1
Gambs, John S.	Hombre, dinero y bienes.	1
Dorfman, Adolfo	La economía de la región norpatagónica y perspectivas para su futuro desarrollo integral.	1
Dobb, Maurice	Introducción a la economía.	1
Rolfe, Sidney E.	Sistema monetario internacional :	1
Guitart, P. Ernesto	Nociones de economía social.	1
Lopez Gento, José	El hombre y la riqueza :	1
Ryan, William T	Principios de comercialización.	2
Hawtrey, R.G.	La restauración económica del mundo de la postguerra.	1
Rebeollo Paz, León	Control de los gastos públicos :	1
Antille, Armando G.	Cambios, monedas y bancos.	1
Mundell, Robert A.	El hombre y la economía.	1
Arnaud,Aldo A.	Mercado cambiario e inflación :	1
	Organización Monetaria de la Comunidad Económica Europea.	1
Monsen, R. Joseph	Introduction to business readings.	1
Rotman, Edgardo	Los fraudes al comercio y la industria.	1
Owes, Edgar	Reconsideración de la teoría del desarrollo.	1
Taussig, F.W.	Principios de economía.	1
Ritter, Lawrence S.	Money and economic activity :	1
Zeuthen, F	Teoria y método en economía.	1
Glasser, Ralph	Principios y fundamentos de marketing.	1
Marin, Isidoro	La programación lineal en el proceso de decisión.	1
Ferrater Mora, José	Diccionario de filosofía.	1
Chase, Stuart	El estudio de la humanidad.	1
Beirne, Joseph A.	Nuevos horizontes del trabajador norteamericano.	1
Rodwin, Lloyd	La metrópoli del futuro.	1
Pound, Roscoe	Evolución de la libertad.	1
Gonzalez Navarro, José	Democracia y sindicalismo.	1
Korner, Stephan	Introducción a la filosofía de la matemática.	1
Menne, Albert	Introducción a la lógica.	1
Penniman, Howard R.	El proceso político norteamericano.	1
Mannheim, Karl	Diagnóstico de nuestro tiempo.	1
Kassalow, Everett M.	Sindicatos e industrias.	1
Moreno, Alberto	Ejercicios de lógica.	1
Durant, Will	Filosofía, cultura y vida.	1
Decraene, Philippe	El panafricanismo.	1
Benton, William	La voz de la América Latina.	1
Morgan, Murray	Medicos para el mundo :	1
Hostos, Eugenio M.	Moral social.	1
Allix, André	Manual de geografía general :	1
Case, Earl C.	Goegrafía general, regional y económica.	1
Zimmerman, Erich W.	Recursos e industrias del mundo.	1
Thoman, Richard S.	Geografia de la actividad económica :	2
Jones, Clarence Fielden	Geografía económica.	1
	Balance de un siglo 1886-1986.	2
	Cincuentenario del Banco Central de la República Argentina :	1
Celdeiro, Ernesto Carlos	Manual teórico-práctico de procedimiento tributario en el orden federal.	1
	Bogo, Frischknecht, O'Donell y Steinberg critican a Levy.	2
Van Horne, James C.	Administración Financiera.	1
Di Marco, Luis Eugenio	Es posible una economía humana? :	1
Rojo, Armando O.	Algebra.	1
Cholvis, Francisco	Tratado de organización, costos y balances.	1
	Memoria anual.	1
	Anales de VI convención nacional de Consejos Profesionales de Ciencias Económicas de la República Argentina.	1
	Normativa uniforme sobre oferta pública de títulos valores.	1
	Ordenamiento jurídico de la integración económica regional en América Latina.	1
	Nuevas fuentes de energía :	1
	Premio intal 1985.	1
	El proceso de integración en América Latina en 1981.	1
	El proceso de integración en América Latina en 1982.	1
	El proceso de integración en América LAtina en 1983.	1
	El proceso de integración en América LAtina en 1984.	1
	Evaluación y perspectiva de la integración económica en América Latina.	2
	Primeras jornadas sobre política de legislación de seguros y reaseguros.	2
Otonello, Susana	Introducción a la matemática.	1
Ferreyra, Edgardo A.	Principales efectos de la contratación civil.	1
Rivera, Julio César	Habilitación de edad.	1
Aristoteles	De Anima.	1
Nieto Blanc, Ernesto E	Curso de derecho civil.	2
Canal Feijoo, Bernardo	Fundación y frustración en la historia argentina.	1
De Vedia, Agustín	Derecho constitucional y administrativo :	1
William, Jorge N	Los contratos preparativos :	1
Silenzi De Stagni, Adolfo	El nuevo derecho del mar, controversias entre las potencias navales y el tercer mundo.	1
	Pautas para la evaluación de proyectos.	12
Fowler Newton, Enrique	Contabilidad básica.	10
Harvey, Edwin R.	Estado y cultura :	3
Murillo Oporto, Mario	Elementos de estadística para la preparación y evaluación de proyectos.	2
Escasany, Eduardo J.	Discurso de apertura del presidente de ADEBA.	1
Fernandez Vázquez, Emilio	Diccionario de derecho público, administrativo, constitucional y fiscal.	6
Treber, Salvador	La empresa estatal argentina :	6
Conover, W.J.	Practical nonparametric statistics.	2
	Estrategias de desarrollo e integración en el grupo andino.	1
Ondarts, Guillermo	Compras estatales e integración económica.	1
	La consultoría en los países de la ALADI.	2
Sourruille, Juan V.	Inversiones extranjeras en América Latina en 1984.	1
	Encuentro empresarial Chileno-Argentino.	1
	Exenciones arancelarias e integración.	1
	Los países de menor desarrollo económico relativo y la integración en América Latina.	2
	Estudio de transporte en la región amazónica y en el Alto Paraguay.	1
Sarmiento García, Jorge H	Procesos de integración y MERCOSUR.	1
Zamora, Fernando Marcelo	Código de Comercio.	2
Ferreyra, Rubén H.	Participación del contador en el juicio sucesorio.	3
	El ideario americano :	2
Samuelson, Paul Anthony	Curso de economía moderna :	2
Marin, Isidoro	La programación lineal en el proceso de decisión.	2
Marin, Isidoro	La programación lineal :	3
Drovetta, Susana Mabel	Dirección de la salud.	1
Smith, Elizabet A.	Manual de productividad :	1
