LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Cavenago, Mercedes Susana	Apuntes de geografía económica general.	1
Daus, Federico A.	Geografia de la Argentina :	1
Steinhardt, Ricardo J. M	Geografía en marketing.	1
Uriondi Tochon, Eduardo,	Límites interprovinciales :	2
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Toynbee, Arnold J.D	Estudio de la historia :	1
Bauer, Guillermo	Introduccion al estudio de la historia.	1
Birnie, Arthur	Historia económica de Europa :	2
Friedlander, H.E.	Historia económica de la Europa moderna.	2
Clapham, J.H.	Historia económica de Europa.	1
Braudel, Fernand	El mediterráneo y el mundo mediterráneo en la época de Felipe II :	1
Braudel, Fernand	El mediterráneo y el mundo mediterráneo en la época de Felipe II :	1
Clapham, J.H.	Historia económica de Europa desde la decadencia del imperio romano :	2
Clapham, J.H.	Historia económica de Europa desde la decadencia del imperio romano :	2
Weber, Alfred	Historia de la cultura.	1
Parry, John H.	Europa y la expansión del mundo :	2
Pirenne, Henri	Historia económica y social de la Edad Media.	7
Ashton, T.S.	La revolución industrial :	3
Mantoux, Paul	La revolución industrial en el siglo XVIII :	1
Kerr, Clark.	El industrialismo y el hombre industrial.	1
	La industrialización y el ahorro de divisas en la Argentina.	1
Sieviking, Heinrichen Power, D.	Historia económica universal.	1
Chamberlain, John	Las raíces del capitalismo.	1
Weber, Max	Historia económica general.	1
See, Henri	Origenes del capitalismo moderno.	5
Heilbroner, Robert L.	La formación de la sociedad Económica.	3
Ashorth, William	Breve historia de la economía internacional.	1
Mcgann, Thomas	Argentina, Estados Unidos y el sistema interamericano 1880-1914.	2
	Historia económica y social.	1
Johnson, John	La transformación política de América Latina :	1
Boulding, Kenneth E.	El significado del siglo XX :	1
Barret, Francois	Historia del trabajo.	1
Seligman, Edwin R. A.	La interpretación económica de la historia.	1
Cipolla, Carlo M	Historia económica de la población mundial.	1
Ducasse, P.	Historia de las técnicas.	1
Burlingame, Roger	Las máquinas que forjaron una Nación.	1
Villalobos Domínguez, C.	Evitemos la guerra social.	1
Popescu, Oreste	Ensayos de economía de empresas.	1
Cochran, Thomas C.	Estados Unidos en el siglo XX Nación :	1
Peyret, Henry	La batalla de los trusts.	1
Peyret, Henry	La batalla de los trust.	2
Barret, Francois	Historia del trabajo.	1
Sobel, Robert	El gran tablero.	1
Robertson, Ross M	Historia de la economía norteamericana :	1
Robertson, Ross M	Historia de la economía norteamericana :	1
Bliss, Horace William	Apuntes de historia económica general :	2
Bills, Horace William	Apuntes de historia económica general :	2
Bills, Horace William	Apuntes de historia económica general :	1
Bills, Horace William	El trabajo en la América española :	2
Bills, Horace William	La américa española durante la edad mercantilista :	1
Bills, Horace William	El sistema manorial.	1
Fragueiro, Mariano	Organización del crédito.	1
Berdou, Ernesto Pedro	El peso argentino :	1
Belgrano, Manuel	Escritos económicos.	1
Vieytes, Juan Hipólito	Antecedentes económicos de la revolución de mayo.	1
Ferrer, Aldo	El estado y el desarrollo económico.	2
Sommi, Luis V.	La minería argentina y la independencia económica.	1
Giberti, Horacio C. E	Historia económica de la ganadería argentina.	1
Echeverria, Esteban	Reflexiones sobre la organización económica de la argentina.	1
Defelippe, Bruno A.	La política energética argentina.	1
Ortiz, Ricardo M.	El pensamiento económico de Echeverría :	1
Ortiz, Ricardo M.	Historia económica de la argentina :	2
Germani, Gino	Estructura social de la Argentina :	1
Alberdi, Juan Bautista	Sistema económico y rentístico de la Confederación Argentina.	1
Lavarden, Manuel José De	Nuevo aspecto del comercio en el Rio de la Plata.	1
Del Valle, Aristóbulo	La política económica argentina.	1
Liceaga, José V.	Argentina ante la reconstrucción del comercio mundial.	1
Ortiz, Ricardo M.	Historia económica de la Argentina.	2
Ortiz, Ricardo M.	Historia económica de la Argentina :	1
Ortiz, Ricardo M.	Historia económica de la Argentina :	2
Cuccorese, Horacio Juan	Economia y finanzas durante la écpoca del Congreso de Tucumán.	1
Halperin Donghi, Tulio	Tradición política española e ideología revolucionaria de mayo.	1
Halperin Donghi, Tulio	Historia de la Universidad de Buenos Aires.	1
Gori, Gastón	Inmigración y colonización en la Argentina.	1
Bernard, Tomas Diego	El aborigen rioplatense en la historia y ante la ley.	1
Ots Capdequi, J.M.	España en América :	1
Street, John	Gran Bretaña y la independencia del Rio de la Plata.	1
Torre Revello, José	La sociedad colonial :	1
Morner, Magnus	Actividades políticas y económicas de los jesuitas en el Rio de la Plata.	1
Bilss, Horacio William	Del virreinato a Rosas :	5
Carrillo, Joaquin	Apuntes de su historia civil (con muchos documentos)	1
Vergara, Miguel Ángel	Don Pedro Ortiz de Zárate :	1
Rosa, José María	Defensa y pérdida de nuestra independencia económica.	1
Busaniche, José Luis	Historia argentina.	1
Palacio, Ernesto	Historia de la Argentina 1515-1957 :	1
Palacio, Ernesto	Historia de la Argentina 1515-1835 :	1
Palacio, Ernesto	Historia de la Argentina 1515-1957 :	1
Palacio, Ernesto	Historia de la Argentina 1515-1943 :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Levene, Ricardo	Historia de la Nación Argentina (desde los origenes hasta la organización definitiva en 1862) :	1
Arana, Felipe	Historia económica y social argentina.	1
Stanley, J.	La herencia colonial de América Latina.	1
Simian, Susana Molinas De	El método retrospectivo en la enseñanza de la historia.	1
Cuccorese, Horacio Juan	Historia económica financiera Argentina (1862-1930)	1
Brinkmann, Carl	Historia económica y social.	2
Barnes, Harry Elmer	Historia de la economíoa del mundo occidental.	2
Bére, Jacques	La guerra de secesión.	1
Mansilla, Lucio V	Una excursión a los indios ranqueles.	1
Lopez Rosas, José Rafael	Historia constitucional argentina.	3
Chaunu, Pierre	Historia de América Latina.	3
Labrousse, Ernest	Fluctuaciones económicas e historia social.	2
Vicens Vives, J.	Historia social y económica de España y América :	2
Vicens Vives, J.	Historia social y económica de España y América :	2
Vicens Vives, J.	Historia social y económica de España y AméricaImperio español en América :	2
Vicens Vives, J.	Historia social y económica de España y América :	2
Vicens Vives, J.	Historia social y económica de España y América :	2
Braudel, Fernand	La historia y las Ciencias Sociales.	3
Scalabrini Ortiz, Raúl	Los ferrocarriles deben ser argentinos.	2
Thistlethwaite, Frank	El gran experimiento :	1
Slavat, Manuel	Historia mundial desde 1939.	1
	Ponencias :	1
Giraldi, Pedro Mario	Cuenta corriente bancaria y cheque.	1
Halperin, Isaac	Lecciones de seguros.	1
Majada, Arturo	Cheques y talones de cuenta corriente, en sus aspectos bancario,mercantil y penal.	1
Diez Mieres, Alberto	Cheque y letra de cambio :	10
Gualtieri, Giuseppe	Títulos circulatorios.	1
Bonfanti, Mario Alberto	El cheque :	1
Bonfanti, Mario Alberto	Concursos y quiebra.	2
Bonfanti, Mario Alberto	Concursos y quiebra.	1
Kesselman, Julio	Sociedades cooperativas.	1
Farina, Juan M.	Sociedades comerciales.	1
Farina, Juan M.	Sociedades comerciales.	1
Rivera Campos, Julián	El mundo, el libro y tu organización de bibliotecas.	1
Agilda, Enrique	Cooperación :	1
Angueira Miranda, Miguel Ángel	Carácter revolucionario del cooperativismo.	1
Luz Filho, Fábio	El cooperativismo y el estado.	1
Agilda, Enrique	¿Qué es la cooperación libre?	1
Hirschfeld, André	Charles Gide :	1
Agilda, Enrique	Gremialismo y cooperación.	1
Prevot, Georges	La cooperación en el aula :	1
Garibaldi, Antonio J.	Cooperativas y cooperativismo.	1
Odhe, Torsten	Integración económica y desarrollo cooperativo.	1
Ratier, Horacio	El cooperativismo en la escuela primaria.	1
Grunewald, Karl	Relaciones económicas intercooperativas.	1
Cracogna, Dante Osvaldo	Coperativismo agrario argentino.	1
Gascon Hernandez, Juan	Enfoques cooperativos :	1
Sadosky, Manuel	Elementos de cálculo diferencial e integral.	1
Apostol, Tom M.	Análisi matemático :	1
Sanchez Ramos, Eusebio	Tablas de logaritmos trigonométricas y de cálculo de intereses.	1
Osin, Luis	Introducción al análisis matemático.	2
Sanataló, Luis A.	Vectores y tensores con sus aplicaciones.	1
Coddington, Earl A.	Introducción a las ecuaciones diferenciales ordinarias.	1
Johson, Richard E.	Algebra lineal.	1
Cotlar, Mischa	Introducción al algebra :	1
Lentin, A.	Algebra moderna.	1
Rey Pastor, Julio	Elementos de análisis algebraico.	1
Sales Vallés, Francisco De	Problemas de análisis algebraico.	1
Perez Raffo, Rodolfo J.	Derivadas e integrales :	4
Lambe, Cyril Gerard	Ecuaciones diferenciales para ingenieros y científicos.	1
Di Pietro, Donato	Cálculo infinitesimal para escuelas técnicas e industriales.	1
Alexandroff, P. S.	Introducción a la teoría de los grupos.	1
Imaz, Carlos	Ecuaciones diferenciales ordinarias.	1
Rodriguez Tarditi, José	Juan B.Justo y Nicolás Repetto en la acción cooperativa.	1
Illan, José M.	Hacia una sociedad cooperativista :	1
Kaplan De Drimer, Alicia	Cooperativas escolares.	1
Infield, Henrik F	Sociología de la cooperación :	1
Merener, David M.	El cooperativismo de Entre Ríos y sus pioneros.	1
Sommerhoff R., Walter	Financiamiento cooperativo.	1
Izquierdo, Mario Yuri	Quince años en el cooperaivismo agrario argentino :	1
	El movimiento cooperativo eléctrico argentino :	1
Lavergne, Bernard	Servicios públicos cooperativos.	1
Fauquet, Georges	El sector cooperativo.	1
Bonner, Arnold	La planificación económica y el movimiento cooperativo.	1
Rivera Campos, Julián	El secreto de Rochdale.	1
	Problemas de la cooperación.	1
Lambert, Paul	La doctrina cooperativa.	1
Mladenatz, Gromoslav	Historia de las doctrinas cooperativas.	1
Watkins, W.P.	La alianza cooperativa internacional 1895-1970.	1
	Constitución de la Nación Argentina.	2
Balay, Esteban	Bases del ordenamiento cooperativo de la economía social.	1
	Administración moderna de cooperativas.	1
Kaplan De Drimer, Alicia	Las cooperativas :	1
Yemma, Juan Carlos	Impuesto especial a la regularización impositiva :	2
Le Pera, Sergio	Cuestiones de derecho comercial moderno.	3
Etcheverry, Raúl Aníbal	Sociedades en comandita por acciones :	3
Radresa, Emilio	Sociedades colectivas.	2
Anguita, Felipe	Trigonometría rectilínea y esférica.	2
Phillips, Hartman B.	Ecuaciones diferenciales.	1
Gillespie, R.P.	Derivadas parciales.	1
Aitken, M. A	Estadística matemática.	1
Gnedenko, B. V.	Introducción al cálculo de probabilidades.	1
Cramer, Harald	Métodos matemáticos de estadística.	1
Mcfarlane Mood, Alexander	Introducción a la teoría de la estadística.	1
Houel, J.	Tablas de logaritmos a cinco decimales.	1
Lavolpe, Antonio	Presupuestos y gestión.	8
De La Cueva, Mario	Derecho colectivo laboral :	3
Napoli, Rodolfo A	Desarrollo, integración y derecho del trabajo :	3
Althaus, Alfredo A	Tratado de derecho cooperativo.	4
Zaldivar, Enrique	Cuadernos de derecho societario :	2
Hacker, Louis M.	The triumph of American Capitalism.	1
Mc Michael, Stanley	Tratado de tasación :	1
Arias, José	Sucesiones.	1
Rabinovich, Marcos	Demandas por repetición del impuesto a los reditos.	1
Dumas, Raymond	La empresa y la estadística :	2
Dumas, Raymond	La empresa y la estadística :	2
Donzallaz, Paul	La estadística comercial.	1
Vessereau, André	La estadística.	3
Cyert, Richard M.	El muestreo estadístico aplicado a la censura de cuentas.	1
Trucco, Sixto E.	Análisis estadístico aplicado a los trabajos de investigación en Agricultura y Biología.	1
Chevry, Gabriel R.	Practica de las encuestas estadísticas.	1
Davies, Owen L.	Métodos estadísticos aplicados a la investigación y a la producción.	1
	Estimaciones y proyecciones de población :	1
Bancroft, Huldah	Introducción a la bioestadística.	1
Pepe, Paul	Presentación de estadisticas.	1
Pandurang V. Sukhatme	Teoria de encuestas por muestreo de aplicaciones.	1
Udny Yule, George	Introducción a la estadística matemática.	2
Pino Quintana, Ernesto	Estadistica comercial.	1
Fisher, Ronald	Tablas estadísticas para investigadores científicos, económicos demógrafos y ...	1
Fourcade, Pedro D	Manual alfabético del impuesto a los réditos.	2
Seoane, Joaquín Raúl	Compulsas y peritajes.	3
Cholvis, Francisco	La función técnica del síndico en la ley 11719.	3
	Manual de administración básica de cooperativas.	1
Zimmer, Hermann	A fraudulent testament devalues the Bahia Religion into POlitical Shoghism.	1
Jarach, Dino	Curso superior de derecho tributario.	1
Jarach, Dino	Curso superior de derecho tributario.	1
Schiffer, Miguel	Sociedades en comandita por acciones.	1
Benson, Oliver	El laboratorio de ciencia política.	1
Dreier, John C.	La organización de los estados americanos.	1
Chidsey, Donald Barr	La independencia norteamericana.	1
Levy, Leonard W.	La política.	1
Migliardi, Francisco N.M.O.	Títulos de credito.	1
Romero, Cesar Enrique	Introducción al derecho constitucional.	4
Oderigo, Mario N	Sinopsis de derecho romano.	1
	Código de comercio de la República Argentina y sus leyes y decretos complementarios.	1
Vázquez Vialard, Antonio	Derecho del trabajo y seguridad social.	5
Lynn, Kenneth S.	La sociedad.	1
Carames Ferro, José M	Curso de derecho romano :	1
Mills, C. Wright	Las clases medias en norteamérica.	1
May, Ernest R.	Las relaciones internacionales.	1
Carrillo, Pedro	Protección legal del trabajo.	1
Salvadori, Massimo	Democracia liberal :	1
Douglas, William O.	Una ley de derechos vivientes.	1
Herrera, Felipe	Discursos pronunciados por el presidente del Banco Interamericano de Desarrollo.	1
Hernandez, Antonio María	Anteproyecto de ley orgánica municipal para la provincia de Córdoba.	1
Porzecanski, Arturo C.	Política fiscal en América Latina.	1
	Selección de monografías y conferencias pronunciadas en la Reunión del Centro Interamericano de Administradores Tributarios de Panamá.	1
Sampay, Arturo Enrique	Constitución y pueblo.	1
Otaegui, Julio C	Fusión y escisión de sociedades comerciales.	2
	La ley nacional de expropiaciones N§21499.	7
Panse, Vinayak G	Métodos estadísticos para investigadores agrícolas.	5
Botbol, José	Ejercicios prácticos de matemática finciera (100 ejercicios)	2
Rizzi, Jorge A.	Introducción a la estadística.	1
Mentha, Gerald	Los test estadísticos aplicados a la empresa.	1
Kohan de Cortada, Nuria	Estadística aplicada.	1
Kemeny, John G	Estructuras matemáticas finitas.	1
Fernandez, Manuel Salvador	Matemáticas impositivas.	1
Jordan, Pascual	La física dek siglo XX.	1
Kammeryer, Karl	Cálculo de procesos.	1
Kelley, John L.	Topología general.	1
Gonzalez Gale, José	Matemátcias financieras (primera parte) :	1
Battersby, Albert	Matemáticas para la empresa.	2
Specthrie, Samuel Waldo	Matemáticas del contador.	1
Pressat, Roland	El análisis demográfico :	10
	Impuestos Nacionales N§13.	1
	Impuestos Nacionales Nº13.	1
Ruprecht, Alfredo J	Lecciones de derecho del trabajo y de la seguridad social :	1
Ruprecht, Alfredo J	Lecciones de derecho del trabajo y de la seguridad social.	1
Reuther, Walter P.	Ideario de un sindicalista.	1
Johnson, Lyndon B.	La hora de la acción.	1
Mejalelaty, Elias	Leyes impositivas.	1
Luparia, Carlos Horacio	El grito de la tierra :	1
	Código civil.	1
Corwin, Edward S.	Libertad y gobierno :	1
Konvitz, Milton R	La libertad :	1
Goldschmidt, Werner	Introducción filosófoca al derecho :	3
Danielian, Miguel	Personas jurídicas :	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Castro, Juan Pedro	Primera colección de fallos del tribunal fiscal de la nación.	1
Hall, Marshall Jr	Teoria de los grupos.	1
Spiegel, Murray R	Ecuaciones diferenciales aplicadas.	1
Picasso, Osvaldo J. A.	Curso preuniversitario de matemática.	5
Suppes, Patrick	Teoria axiomática de conjuntos.	1
Huang, David	Introducción al uso de la matemática en el análisis económico.	2
Hall, H. S	Algebra superior.	4
Ayres, Frank	Teoria y problemas de fundamentos de matemáticas superiores.	3
Scheid, Francis	Análisis numérico.	1
Rich, Barnett	Geometría plana con coordenadas.	1
Spiegel, Murray R.	Cálculo superior.	2
Ayres, Frank	Teoria y problemas de algebra moderna.	1
Hawk, Minor Clyde	Teoría y problemas de geometría descriptiva.	1
Rich, Barnett	Teoria y problemas de algebra elemental.	1
Springer, Clifford	Matemáticas básicas.	1
Mason, Robert D.	Estadística comercial y económica.	13
Koosis, Donald J	Introducción a la inferencia estadística para administración y economía.	1
Koosis, Donald J	Elementos de inferencia estadística.	1
Varsavsky, Oscar	Algebra para escuelas secundarias :	1
Varsavsky, Oscar	Algebra para escuelas secundarias :	1
Simon, Leonard S	Analytical marketing.	1
Slonim, Morris James	Muestreo :	1
Buchhold, Wolf	Algebra booleana :	1
Spiegel, Murray R	Manual de formulas y tablas matemáticas.	2
Bers, Lipman	Cálculo diferencial e integral :	1
Trejo, Cesar A.	Ciclo medio de matemática moderna :	1
Trejo, Cesar A.	Ciclo medio de matemática moderna :	1
Trejo, Cesar A.	Ciclo medio de matemática moderna :	1
Vance, Elbridge P.	Introducción a la matemática moderna.	1
Morrey, Charles	Análisis matemático.	1
Vance, Elbridge P.	Algebra superior moderna.	1
Rhodes, E. C.	Estadistica elemental.	1
Lozano Cornejo, Antonio	Confiabilidad :	1
Walker, Helen M.	Elementary Statistical methods.	1
Moosteller, Frederick	Probability :	1
Schlaifer, Robert	Probability and statitics for business decisions.	1
	Fuentes y métodos de la estadística económica argentina :	2
Boustedt, Olaf	Metodología de la investigación regional :	2
Arrufat, Ernesto Miracle	Algo sobre estadística :	1
Freund, John E.	College mathematics with business applications.	1
Hansen, Morris H.	Sample survey methods and Theory :	1
Hansen, Morris H.	Sample survey methods and Theory :	1
Cochran, William G.	Sampling Techniques.	1
Becker, Carl L.	La democracia moderna.	1
Escuti, Ignacio A	Receso, exclusión y muerte del socio.	1
Kaldor, Nicholas	Impuesto al gasto.	2
Halperin, Isaac	Sociedades anónimas :	2
Williams, Jorge N.	La causa en los títulos de crédito :	1
San Millán, Carlos	Aspectos jurídicos y contables de las normas de la inspección general de justicia.	2
Abad, Antolin	Legislación del trabajo y de la seguridad social.	1
Zaldivar, Enrique	Cuadernos de derecho societario :	1
Zaldivar, Enrique	Cuadernos de derecho societario :	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
Spota, Alberto G	Tratado de derecho civil :	3
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Derecho fiscal.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Legislación del trabajo.	1
	Derecho fiscal.	4
	Derecho fiscal.	3
	Derecho fiscal.	3
	Derecho fiscal.	3
	Derecho del trabajo.	1
	Derecho del trabajo.	1
	Derecho del trabajo :	1
Ruprecht, Alfredo J.	El desempleo y la seguridad social.	1
Reig, Enrique Jorge	Impuesto a los réditos.	1
Petersen, Elmore	Organización y dirección de empresas.	1
De Lerner, Georges	Tratado de organización de empresas.	1
De Lerner, Georges	Tratado de organización de empresas.	2
De Lerner, Georges	Tratado de organización de empresas.	1
Thomson, James D	Teoria de la organización.	1
Lee, Douglas H.K.	El clima y el desarrollo económico en los tropicos.	1
Bonaparte, Luis F.	Organización contable de empresas :	4
Dale, Ernest	Como planear y establecer la organización de la empresa.	1
Terry, George R	Administración y control de oficinas :	1
Alford, L.P.	Manual de la producción.	1
Edwards, Ronald S.	El desarrollo de la empresa :	1
Stilian, Gabriel N.	PERT :	1
Pietragalla, Candido O	Introducción a la dirección de empresas.	2
Strauss, George	Los problemas humanos de la dirección.	1
Holden, Paul	Dirección de empresas :	1
Riccardi, Ricardo	Principios de dirección.	1
Kleinebeckel, H.	Análisis y planificación de la pequeña y mediana empresa.	1
Brown, Stanley M.	Manual del director de empresa.	1
Harbison, Frederick H.	La dirección de empresa en el mundo industrial.	1
Koontz, Harold	Principios de dirección de empresa :	1
Planty, Earl G.	Direccion de empresas :	1
	Principios de dirección de empresas.	1
Riccardi, Ricardo	Controles elementales de dirección.	1
Perier, A.	El entretenimiento preventivo.	1
Arjona Ciria, Antonio	Principios de control de la producción.	1
Arjona Ciria, Antonio	Aplicaciones del control de producción.	1
Chuen Tao, Luis Yu	El control de calidad en la empresa.	1
Simeray, J.P.	Principios y aplicaciones del control de gestión.	1
Depallens, Georges	Financiación de empresas :	1
Rodríguez Sahagun, Tomas	La direccion de personal.	1
Littmann, Hans Eduardo	El tratamiento automático de la información.	1
Jauregui Alonso, Julio De	El plan financiero en los proyectos de modernización industrial.	1
Perel, Vicente Leopoldo	Organizacion y control de empresas.	2
Raffo, Jorge A	La creación de una empresa.	1
Defosse, Gaston	La gestion financiera de las empresas.	1
Lauzel, Pierre	El control de gestión :	1
Gross, Alfred	Promoción de ventas.	1
Mascia, Alfredo A.	Economía y organización de empresas.	1
Mascia, Alfredo A.	Economía y organización de empresas.	1
Guion, Robert M.	Test para selección de personal.	1
Tagliacarne, Guglielmo	Técnica y práctica de las investigaciones de mercado.	1
Del Valle, Cecilio	Organización administrativa y contable de explotaciones ganaderas y agrícolas.	1
Pascale, Ricardo	Decisiones financieras.	2
Besley, Scott	Fundamentos de administración financiera.	2
Sierra Bravo, R	Técnicas de investigación social :	3
Debeljuh, Patricia	Etica empresarial en el núcleo de la estrategia corporativa.	2
Gotlib, Gabriel	Procedimiento tributario :	2
Llapur, Said Jorge	Ley de procedimientos administrativos de la provincia de Jujuy :	3
Covelli, José Luis	Patología laboral :	2
Barcia, Patricia	Violencia laboral :	2
Casparri, María Teresa	Administración financiera utilizando Excel.	1
Graham, John R.	Finanzas corporativas :	1
Mejias, Cristina	El sillón vacío :	3
Alles, Martha Alicia	Las 50 herramientas de recursos humanos que todo profesional debe conocer.	2
Aquino, Jorge A.	Recursos humanos.	1
Motterlini, Matteo	Economía emocional :	1
Porret Gelabert, Miquel	Gestión de personas :	2
Pérez Van Morlegan, Luis	El comportamiento de las personas en las organizaciones.	1
Williams, Richard S	Rendimiento del personal :	1
Silva González, María Del Mar	Las relaciones humanas en la empresa.	1
Diaz Zazo, Pilar	Prevención de riesgos laborales :	1
Gaito, Horacio	Herramientas de gestión del capital humano con Office :	1
Gómez-Mejia, Luis R	Gestión de recursos humanos.	1
Knop, Roberto	Manual de instrumentos derivados :	2
Ramirez, Eduardo	Invertir, gastar o ahorrar.	1
Bacchini, Roberto D.	Evaluación de inversiones con opciones reales utilizando EXCEL.	5
Tapia, Gustavo	Valuación de empresas :	1
Titman, Sheridan	Valoración :	1
Hull, John C.	Introducción a los mercados de futuros y opciones.	1
Berk, Jonathan	Fundamentos de finanzas corporativas.	2
Gitman, Lawrence J.	Fundamentos de inversiones.	1
Pucciarello, Mariana	Derecho a no autoincriminarse y deber de colaborar en el ámbito tributario.	1
Genoud, María Andrea	Miradas acerca de las estructuras laborales argentinas :	2
Drimer, Roberto L.	Teoría del financiamiento.	1
Porto, José M	Fuentes de financiación :	1
De La Fuente, Gabriel	Compendio de finanzas a plicadas.	1
Rassiga, Fernando	Manual de decisiones de inversión y financiamiento de proyectos.	1
Mayes, Timothy R.	Análisis financiero con Microsoft Excel.	1
Taleb, Nassim Nicholas	El cisne negro :	1
Narodowski, Patricio	Geografía económica mundial (GEM) :	1
Gilges, Gisela	Cómo encontrar el empleado ideal :	3
De Lara Haro, Alfonso	Medición y control de riesgos financieros :	1
Grinblatt, Mark	Mercados financieros y estrategia empresarial.	1
Perez-Carvallo Veiga, Juan F.	Estrategia y politicas financieras.	1
Gray, Dave	Gamestorming :	1
Piñuel, Iñaki	Mobbing, estado de la cuestión :	1
Cagigas, Jorge	Los diez retos de Silvia :	2
Castello, Oscar R	Capital humano :	2
Baguer Alcala, Ángel	Dirección de personas :	1
Bolig, Georgina N	Administración de recursos humanos utilizando Microsoft Excel :	1
Hidalgo, Bernardo	Remuneraciones inteligentes :	1
